,COUNTRY,PATENT,CITING_COUNTRY,PATENT_COUNTRY_NUMBER
8152711,AG,1,NO-COUNTRY,0
8152749,AR,7,NO-COUNTRY,0
8153062,AT,214,NO-COUNTRY,0
8153891,AU,163,NO-COUNTRY,0
8154942,BE,82,NO-COUNTRY,0
8155224,BR,35,NO-COUNTRY,0
8155303,BY,8,NO-COUNTRY,0
8157475,CA,747,NO-COUNTRY,0
8160590,CH,290,NO-COUNTRY,0
8161262,CL,14,NO-COUNTRY,0
8161390,CN,34,NO-COUNTRY,0
8161436,CO,1,NO-COUNTRY,0
8161438,CR,2,NO-COUNTRY,0
8161472,CS,2,NO-COUNTRY,0
8161486,CY,1,NO-COUNTRY,0
8172357,DE,3592,NO-COUNTRY,0
8178407,DK,44,NO-COUNTRY,0
8178517,DO,1,NO-COUNTRY,0
8178699,ES,57,NO-COUNTRY,0
8179283,FI,135,NO-COUNTRY,0
8183963,FR,962,NO-COUNTRY,0
8189096,GB,789,NO-COUNTRY,0
8190603,GR,1,NO-COUNTRY,0
8190657,HK,22,NO-COUNTRY,0
8190739,HR,1,NO-COUNTRY,0
8191092,HU,18,NO-COUNTRY,0
8191195,IE,7,NO-COUNTRY,0
8191803,IL,66,NO-COUNTRY,0
8192098,IN,11,NO-COUNTRY,0
8192116,IS,1,NO-COUNTRY,0
8193543,IT,423,NO-COUNTRY,0
8194368,JM,1,NO-COUNTRY,0
8236659,JP,11805,NO-COUNTRY,0
8256163,KR,204,NO-COUNTRY,0
8256577,LB,3,NO-COUNTRY,0
8256600,LI,8,NO-COUNTRY,0
8256615,LK,1,NO-COUNTRY,0
8256633,LU,36,NO-COUNTRY,0
8256687,MC,2,NO-COUNTRY,0
8256724,MX,26,NO-COUNTRY,0
8256768,MY,2,NO-COUNTRY,0
8257990,NL,157,NO-COUNTRY,0
8258538,NO,44,NO-COUNTRY,0
8258681,NZ,15,NO-COUNTRY,0
8258718,PE,2,NO-COUNTRY,0
8259035,RU,70,NO-COUNTRY,0
8260064,SE,312,NO-COUNTRY,0
8260704,SG,19,NO-COUNTRY,0
8260749,SI,1,NO-COUNTRY,0
8260792,SU,8,NO-COUNTRY,0
8260806,TH,1,NO-COUNTRY,0
8262057,TW,461,NO-COUNTRY,0
8263123,UA,11,NO-COUNTRY,0
8336618,US,17979,NO-COUNTRY,0
8375327,VE,9,NO-COUNTRY,0
8375355,YU,2,NO-COUNTRY,0
8375452,ZA,48,NO-COUNTRY,0
8375546,ZW,2,NO-COUNTRY,0
