,COUNTRY,PATENT,CITING_COUNTRY,PATENT_COUNTRY_NUMBER
6122874,AR,1,NO-COUNTRY,0
6122898,AT,91,NO-COUNTRY,0
6123343,AU,74,NO-COUNTRY,0
6123686,BE,147,NO-COUNTRY,0
6124045,BG,9,NO-COUNTRY,0
6124104,BR,4,NO-COUNTRY,0
6124140,BS,3,NO-COUNTRY,0
6124145,CA,326,NO-COUNTRY,0
6125621,CH,649,NO-COUNTRY,0
6127285,CO,2,NO-COUNTRY,0
6127291,CS,36,NO-COUNTRY,0
6127391,DE,4378,NO-COUNTRY,0
6139301,DK,30,NO-COUNTRY,0
6139479,DO,1,NO-COUNTRY,0
6139480,ES,14,NO-COUNTRY,0
6139551,FI,72,NO-COUNTRY,0
6139769,FR,899,NO-COUNTRY,0
6143267,GB,843,NO-COUNTRY,0
6146459,GR,4,NO-COUNTRY,0
6146470,HK,1,NO-COUNTRY,0
6146485,HU,230,NO-COUNTRY,0
6147020,IL,58,NO-COUNTRY,0
6147205,IN,24,NO-COUNTRY,0
6147238,IT,345,NO-COUNTRY,0
6148322,JP,6006,NO-COUNTRY,0
6170405,KR,8,NO-COUNTRY,0
6170436,KY,1,NO-COUNTRY,0
6170438,LI,4,NO-COUNTRY,0
6170457,LU,7,NO-COUNTRY,0
6170512,MA,5,NO-COUNTRY,0
6170522,MX,17,NO-COUNTRY,0
6170573,NL,311,NO-COUNTRY,0
6171663,NO,22,NO-COUNTRY,0
6171757,NZ,6,NO-COUNTRY,0
6171803,PH,1,NO-COUNTRY,0
6171816,PL,24,NO-COUNTRY,0
6171882,PT,3,NO-COUNTRY,0
6171900,SA,2,NO-COUNTRY,0
6171905,SE,170,NO-COUNTRY,0
6172859,SU,303,NO-COUNTRY,0
6174194,TW,10,NO-COUNTRY,0
6174271,US,13183,NO-COUNTRY,0
6225413,VE,1,NO-COUNTRY,0
6225439,ZA,19,NO-COUNTRY,0
