,COUNTRY,PATENT,CITING_COUNTRY,PATENT_COUNTRY_NUMBER
8623274,AR,4,NO-COUNTRY,0
8623705,AT,254,NO-COUNTRY,0
8624573,AU,155,NO-COUNTRY,0
8624930,AW,2,NO-COUNTRY,0
8625971,BE,115,NO-COUNTRY,0
8626258,BG,1,NO-COUNTRY,0
8626259,BH,1,NO-COUNTRY,0
8626315,BR,25,NO-COUNTRY,0
8626394,BS,1,NO-COUNTRY,0
8626400,BY,3,NO-COUNTRY,0
8629167,CA,756,NO-COUNTRY,0
8632522,CH,299,NO-COUNTRY,0
8633204,CL,3,NO-COUNTRY,0
8633365,CN,12,NO-COUNTRY,0
8633402,CO,2,NO-COUNTRY,0
8633407,CR,6,NO-COUNTRY,0
8633494,CZ,6,NO-COUNTRY,0
8645518,DE,3870,NO-COUNTRY,0
8652174,DK,95,NO-COUNTRY,0
8652600,ES,64,NO-COUNTRY,0
8653396,FI,142,NO-COUNTRY,0
8658742,FR,987,NO-COUNTRY,0
8664630,GB,761,NO-COUNTRY,0
8666182,GR,1,NO-COUNTRY,0
8666245,HK,16,NO-COUNTRY,0
8666599,IE,9,NO-COUNTRY,0
8667554,IL,101,NO-COUNTRY,0
8667925,IN,14,NO-COUNTRY,0
8669693,IT,460,NO-COUNTRY,0
8728693,JP,13959,NO-COUNTRY,0
8751932,KR,474,NO-COUNTRY,0
8752744,KY,2,NO-COUNTRY,0
8752773,LI,9,NO-COUNTRY,0
8752798,LU,33,NO-COUNTRY,0
8752845,MC,1,NO-COUNTRY,0
8752875,MX,38,NO-COUNTRY,0
8752956,MY,2,NO-COUNTRY,0
8754245,NL,200,NO-COUNTRY,0
8754865,NO,42,NO-COUNTRY,0
8755091,NZ,15,NO-COUNTRY,0
8755204,PL,5,NO-COUNTRY,0
8755237,PT,1,NO-COUNTRY,0
8755575,RU,20,NO-COUNTRY,0
8755640,SA,1,NO-COUNTRY,0
8756807,SE,316,NO-COUNTRY,0
8757491,SG,15,NO-COUNTRY,0
8757534,SI,1,NO-COUNTRY,0
8757541,SK,3,NO-COUNTRY,0
8757574,TR,3,NO-COUNTRY,0
8759361,TW,475,NO-COUNTRY,0
8760545,UA,12,NO-COUNTRY,0
8852436,US,19308,NO-COUNTRY,0
8893178,VE,3,NO-COUNTRY,0
8893197,YU,3,NO-COUNTRY,0
8893294,ZA,29,NO-COUNTRY,0
