,COUNTRY,PATENT,CITING_COUNTRY,PATENT_COUNTRY_NUMBER
2982847,AR,1,NO-COUNTRY,0
2983248,AT,38,NL,2
2983286,AT,38,NO-COUNTRY,0
2985904,AU,28,NO-COUNTRY,0
2988364,BE,53,JP,1
2988417,BE,53,NO-COUNTRY,0
2988470,BE,53,SG,2
2988523,BE,53,US,5
2989740,BG,7,NO-COUNTRY,0
2989779,BR,1,NO-COUNTRY,0
2992456,CA,230,DE,5
2992686,CA,230,FR,2
2992916,CA,230,GB,2
2993146,CA,230,IT,2
2993376,CA,230,JP,1
2993606,CA,230,NO-COUNTRY,0
2993836,CA,230,US,21
3013908,CH,240,DE,5
3014148,CH,240,FR,3
3014388,CH,240,GB,1
3014628,CH,240,JP,1
3014868,CH,240,NO-COUNTRY,0
3015108,CH,240,SE,2
3015348,CH,240,US,29
3022957,CS,10,NO-COUNTRY,0
3128226,DE,1543,CA,5
3129769,DE,1543,CH,3
3131312,DE,1543,FR,12
3132855,DE,1543,GB,13
3134398,DE,1543,IT,1
3135941,DE,1543,JP,35
3137484,DE,1543,LI,1
3139027,DE,1543,NL,2
3140570,DE,1543,NO-COUNTRY,0
3142113,DE,1543,SE,5
3143656,DE,1543,US,141
3224821,DK,29,CA,2
3224850,DK,29,CH,2
3224879,DK,29,NO-COUNTRY,0
3224908,DK,29,US,4
3225502,ES,16,NO-COUNTRY,0
3225518,ES,16,SU,1
3225995,FI,14,NO-COUNTRY,0
3226009,FI,14,US,3
3241911,FR,666,CH,1
3242577,FR,666,DE,12
3243243,FR,666,GB,4
3243909,FR,666,IT,2
3244575,FR,666,JP,6
3245241,FR,666,NL,1
3245907,FR,666,NO-COUNTRY,0
3246573,FR,666,SU,3
3247239,FR,666,US,50
3288577,GB,757,CA,2
3289334,GB,757,CH,4
3290091,GB,757,DE,24
3290848,GB,757,FR,6
3291605,GB,757,HU,1
3292362,GB,757,JP,26
3293119,GB,757,NL,1
3293876,GB,757,NO-COUNTRY,0
3294633,GB,757,SU,2
3295390,GB,757,US,100
3315020,GR,3,NO-COUNTRY,0
3315040,HK,4,NO-COUNTRY,0
3316191,HU,10,NO-COUNTRY,0
3316281,ID,1,NO-COUNTRY,0
3316294,IE,6,NO,2
3316300,IE,6,NO-COUNTRY,0
3316618,IL,36,NO-COUNTRY,0
3316654,IL,36,US,1
3321550,IT,108,FR,1
3321658,IT,108,NO-COUNTRY,0
3321766,IT,108,US,15
3431358,JP,2611,AT,2
3433969,JP,2611,BE,1
3436580,JP,2611,CH,5
3439191,JP,2611,DE,36
3441802,JP,2611,FR,3
3444413,JP,2611,GB,21
3447024,JP,2611,IL,8
3449635,JP,2611,IT,13
3452246,JP,2611,NL,7
3454857,JP,2611,NO-COUNTRY,0
3457468,JP,2611,NZ,2
3460079,JP,2611,SE,5
3462690,JP,2611,US,329
3557534,KR,2,JP,1
3557536,KR,2,NO-COUNTRY,0
3557540,KY,1,NO-COUNTRY,0
3557548,LI,8,NO-COUNTRY,0
3557734,MX,3,NO-COUNTRY,0
3561330,NL,277,AT,2
3561607,NL,277,CA,3
3561884,NL,277,DE,2
3562161,NL,277,FR,1
3562438,NL,277,JP,12
3562715,NL,277,NO-COUNTRY,0
3562992,NL,277,SE,3
3563269,NL,277,US,31
3565485,NO,12,NO-COUNTRY,0
3565497,NO,12,PL,1
3565509,NO,12,US,1
3565678,NZ,5,NO-COUNTRY,0
3565683,NZ,5,US,1
3565763,PA,1,NO-COUNTRY,0
3565775,PH,1,NO-COUNTRY,0
3565915,RO,12,NO-COUNTRY,0
3568005,SE,199,DE,4
3568204,SE,199,GB,1
3568403,SE,199,JP,4
3568602,SE,199,NO-COUNTRY,0
3568801,SE,199,US,25
3582052,SU,414,CH,20
3582466,SU,414,DE,4
3582880,SU,414,FR,5
3583294,SU,414,JP,7
3583708,SU,414,NO-COUNTRY,0
3584122,SU,414,US,24
3588988,TW,2,NO-COUNTRY,0
4141553,US,10529,AT,3
4152082,US,10529,AU,3
4162611,US,10529,BG,1
4173140,US,10529,CA,39
4183669,US,10529,CH,22
4194198,US,10529,DE,119
4204727,US,10529,DK,4
4215256,US,10529,FR,78
4225785,US,10529,GB,59
4236314,US,10529,GH,3
4246843,US,10529,IL,2
4257372,US,10529,IT,12
4267901,US,10529,JP,200
4278430,US,10529,NL,37
4288959,US,10529,NO,1
4299488,US,10529,NO-COUNTRY,0
4310017,US,10529,SE,6
4320546,US,10529,SU,9
4331075,US,10529,TW,2
4341604,US,10529,ZA,1
5033380,YU,2,NO-COUNTRY,0
5033500,ZA,12,NO-COUNTRY,0
