,COUNTRY,PATENT,CITING_COUNTRY,PATENT_COUNTRY_NUMBER
7301895,AR,7,NO-COUNTRY,0
7302057,AT,53,NO-COUNTRY,0
7302836,AU,118,NO-COUNTRY,0
7303687,BE,132,NO-COUNTRY,0
7304088,BG,15,NO-COUNTRY,0
7304139,BM,2,NO-COUNTRY,0
7304171,BR,2,NO-COUNTRY,0
7305160,CA,327,NO-COUNTRY,0
7308618,CH,272,NO-COUNTRY,0
7310039,CN,35,NO-COUNTRY,0
7310176,CS,12,NO-COUNTRY,0
7317271,DE,1903,NO-COUNTRY,0
7328177,DK,130,NO-COUNTRY,0
7328500,EG,3,NO-COUNTRY,0
7328558,ES,36,NO-COUNTRY,0
7328939,FI,42,NO-COUNTRY,0
7331515,FR,835,NO-COUNTRY,0
7337160,GB,945,NO-COUNTRY,0
7340666,HK,1,NO-COUNTRY,0
7340904,HU,302,NO-COUNTRY,0
7341357,IE,17,NO-COUNTRY,0
7341598,IL,133,NO-COUNTRY,0
7342022,IN,13,NO-COUNTRY,0
7342835,IT,453,NO-COUNTRY,0
7365493,JP,3581,NO-COUNTRY,0
7401338,KR,19,NO-COUNTRY,0
7401859,MC,6,NO-COUNTRY,0
7401876,MX,8,NO-COUNTRY,0
7401931,NG,1,NO-COUNTRY,0
7402652,NL,138,NO-COUNTRY,0
7403843,NO,31,NO-COUNTRY,0
7403993,NZ,3,NO-COUNTRY,0
7404105,PT,3,NO-COUNTRY,0
7404109,RO,3,NO-COUNTRY,0
7404113,SA,1,NO-COUNTRY,0
7404365,SE,191,NO-COUNTRY,0
7405475,SU,142,NO-COUNTRY,0
7406331,TW,31,NO-COUNTRY,0
7436424,US,10244,NO-COUNTRY,0
7499397,VE,3,NO-COUNTRY,0
7499441,YU,37,NO-COUNTRY,0
7499550,ZA,5,NO-COUNTRY,0
