,COUNTRY,PATENT,CITING_COUNTRY,PATENT_COUNTRY_NUMBER
8623278,AR,15,NO-COUNTRY,0
8623959,AT,103,NO-COUNTRY,0
8624728,AU,202,NO-COUNTRY,0
8626086,BE,155,NO-COUNTRY,0
8626260,BM,1,NO-COUNTRY,0
8626340,BR,35,NO-COUNTRY,0
8629923,CA,1076,NO-COUNTRY,0
8632821,CH,377,NO-COUNTRY,0
8633207,CL,1,NO-COUNTRY,0
8633377,CN,5,NO-COUNTRY,0
8633404,CO,1,NO-COUNTRY,0
8633413,CR,7,NO-COUNTRY,0
8633444,CS,7,NO-COUNTRY,0
8633485,CY,1,NO-COUNTRY,0
8633500,CZ,9,NO-COUNTRY,0
8649388,DE,2195,NO-COUNTRY,0
8652269,DK,96,NO-COUNTRY,0
8652664,ES,57,NO-COUNTRY,0
8653538,FI,109,NO-COUNTRY,0
8659729,FR,821,NO-COUNTRY,0
8665391,GB,772,NO-COUNTRY,0
8666183,GR,4,NO-COUNTRY,0
8666188,GT,1,NO-COUNTRY,0
8666261,HK,42,NO-COUNTRY,0
8666322,HR,1,NO-COUNTRY,0
8666455,HU,4,NO-COUNTRY,0
8666463,ID,9,NO-COUNTRY,0
8666608,IE,14,NO-COUNTRY,0
8667655,IL,141,NO-COUNTRY,0
8667939,IN,1,NO-COUNTRY,0
8667946,IS,1,NO-COUNTRY,0
8670153,IT,399,NO-COUNTRY,0
8742652,JP,6549,NO-COUNTRY,0
8752406,KR,335,NO-COUNTRY,0
8752746,KY,7,NO-COUNTRY,0
8752782,LI,1,NO-COUNTRY,0
8752831,LU,12,NO-COUNTRY,0
8752846,MC,3,NO-COUNTRY,0
8752913,MX,27,NO-COUNTRY,0
8752958,MY,10,NO-COUNTRY,0
8752969,NG,1,NO-COUNTRY,0
8754445,NL,268,NO-COUNTRY,0
8754907,NO,76,NO-COUNTRY,0
8755106,NZ,64,NO-COUNTRY,0
8755170,PE,1,NO-COUNTRY,0
8755209,PL,15,NO-COUNTRY,0
8755238,PT,3,NO-COUNTRY,0
8755595,RU,38,NO-COUNTRY,0
8755641,SA,6,NO-COUNTRY,0
8757123,SE,220,NO-COUNTRY,0
8757506,SG,13,NO-COUNTRY,0
8757535,SI,3,NO-COUNTRY,0
8757557,SU,2,NO-COUNTRY,0
8757559,SV,1,NO-COUNTRY,0
8757561,TH,5,NO-COUNTRY,0
8757577,TR,2,NO-COUNTRY,0
8757579,TT,1,NO-COUNTRY,0
8759836,TW,703,NO-COUNTRY,0
8760557,UA,9,NO-COUNTRY,0
8871744,US,21370,NO-COUNTRY,0
8893118,UY,3,NO-COUNTRY,0
8893181,VE,9,NO-COUNTRY,0
8893190,VG,1,NO-COUNTRY,0
8893323,ZA,47,NO-COUNTRY,0
