,COUNTRY,PATENT,CITING_COUNTRY,PATENT_COUNTRY_NUMBER
8623249,AR,21,NO-COUNTRY,0
8623511,AT,130,NO-COUNTRY,0
8624323,AU,183,NO-COUNTRY,0
8625628,BE,258,NO-COUNTRY,0
8626254,BG,4,NO-COUNTRY,0
8626295,BR,7,NO-COUNTRY,0
8626382,BS,12,NO-COUNTRY,0
8627918,CA,756,NO-COUNTRY,0
8630999,CD,1,NO-COUNTRY,0
8631776,CH,505,NO-COUNTRY,0
8633303,CN,37,NO-COUNTRY,0
8633399,CO,2,NO-COUNTRY,0
8633420,CS,19,NO-COUNTRY,0
8633451,CU,33,NO-COUNTRY,0
8633487,CZ,5,NO-COUNTRY,0
8640379,DE,2715,NO-COUNTRY,0
8651780,DK,357,NO-COUNTRY,0
8652451,ES,115,NO-COUNTRY,0
8653172,FI,112,NO-COUNTRY,0
8655895,FR,1805,NO-COUNTRY,0
8662552,GB,1399,NO-COUNTRY,0
8666163,GE,7,NO-COUNTRY,0
8666172,GR,8,NO-COUNTRY,0
8666214,HK,4,NO-COUNTRY,0
8666308,HR,12,NO-COUNTRY,0
8666323,HT,1,NO-COUNTRY,0
8666366,HU,56,NO-COUNTRY,0
8666529,IE,28,NO-COUNTRY,0
8667112,IL,235,NO-COUNTRY,0
8667875,IN,39,NO-COUNTRY,0
8667942,IS,4,NO-COUNTRY,0
8668883,IT,481,NO-COUNTRY,0
8670552,JO,18,NO-COUNTRY,0
8710516,JP,4383,NO-COUNTRY,0
8749201,KE,2,NO-COUNTRY,0
8750450,KR,257,NO-COUNTRY,0
8752742,KW,1,NO-COUNTRY,0
8752770,LI,1,NO-COUNTRY,0
8752843,MC,2,NO-COUNTRY,0
8752854,MX,18,NO-COUNTRY,0
8752950,MY,2,NO-COUNTRY,0
8753628,NL,285,NO-COUNTRY,0
8754759,NO,87,NO-COUNTRY,0
8755022,NZ,42,NO-COUNTRY,0
8755196,PL,8,NO-COUNTRY,0
8755228,PT,5,NO-COUNTRY,0
8755241,RO,1,NO-COUNTRY,0
8755451,RU,73,NO-COUNTRY,0
8755635,SA,3,NO-COUNTRY,0
8756178,SE,471,NO-COUNTRY,0
8757395,SG,4,NO-COUNTRY,0
8757524,SI,8,NO-COUNTRY,0
8757566,TN,3,NO-COUNTRY,0
8757571,TR,3,NO-COUNTRY,0
8758239,TW,94,NO-COUNTRY,0
8808527,US,23928,NO-COUNTRY,0
8893114,UY,4,NO-COUNTRY,0
8893175,VE,2,NO-COUNTRY,0
8893192,YU,5,NO-COUNTRY,0
8893244,ZA,28,NO-COUNTRY,0
