,COUNTRY,PATENT,CITING_COUNTRY,PATENT_COUNTRY_NUMBER
7301886,AE,1,NO-COUNTRY,0
7301892,AR,3,NO-COUNTRY,0
7301914,AT,127,NO-COUNTRY,0
7302613,AU,164,NO-COUNTRY,0
7303345,BE,300,NO-COUNTRY,0
7304078,BG,1,NO-COUNTRY,0
7304141,BR,30,NO-COUNTRY,0
7304250,BS,2,NO-COUNTRY,0
7304257,CA,638,NO-COUNTRY,0
7307676,CH,854,NO-COUNTRY,0
7309981,CL,6,NO-COUNTRY,0
7309993,CN,40,NO-COUNTRY,0
7310129,CO,2,NO-COUNTRY,0
7310136,CS,40,NO-COUNTRY,0
7310228,DE,6262,NO-COUNTRY,0
7328120,DK,50,NO-COUNTRY,0
7328503,ES,52,NO-COUNTRY,0
7328738,FI,173,NO-COUNTRY,0
7329355,FR,1590,NO-COUNTRY,0
7335492,GB,1197,NO-COUNTRY,0
7340643,GR,1,NO-COUNTRY,0
7340661,HK,1,NO-COUNTRY,0
7340720,HU,181,NO-COUNTRY,0
7341305,IE,32,NO-COUNTRY,0
7341408,IL,124,NO-COUNTRY,0
7341986,IN,35,NO-COUNTRY,0
7342049,IT,684,NO-COUNTRY,0
7344402,JM,4,NO-COUNTRY,0
7344406,JP,12640,NO-COUNTRY,0
7401124,KR,112,NO-COUNTRY,0
7401775,LI,1,NO-COUNTRY,0
7401795,LU,1,NO-COUNTRY,0
7401858,MC,1,NO-COUNTRY,0
7401869,MX,7,NO-COUNTRY,0
7401909,MY,3,NO-COUNTRY,0
7401932,NL,499,NO-COUNTRY,0
7403788,NO,34,NO-COUNTRY,0
7403979,NZ,12,NO-COUNTRY,0
7404091,PT,11,NO-COUNTRY,0
7404120,SE,193,NO-COUNTRY,0
7405242,SG,4,NO-COUNTRY,0
7405268,SU,184,NO-COUNTRY,0
7406162,TW,96,NO-COUNTRY,0
7407261,US,19155,NO-COUNTRY,0
7499379,VE,16,NO-COUNTRY,0
7499430,YU,8,NO-COUNTRY,0
7499492,ZA,47,NO-COUNTRY,0
