,COUNTRY,PATENT,CITING_COUNTRY,PATENT_COUNTRY_NUMBER
7499680,AR,11,NO-COUNTRY,0
7499936,AT,64,NO-COUNTRY,0
7500614,AU,99,NO-COUNTRY,0
7501474,BE,98,NO-COUNTRY,0
7501873,BG,5,NO-COUNTRY,0
7501892,BR,2,NO-COUNTRY,0
7502991,CA,325,NO-COUNTRY,0
7506034,CH,302,NO-COUNTRY,0
7507529,CN,6,NO-COUNTRY,0
7507589,CO,2,NO-COUNTRY,0
7507619,CS,15,NO-COUNTRY,0
7514409,DE,2130,NO-COUNTRY,0
7525222,DK,101,NO-COUNTRY,0
7525538,ES,63,NO-COUNTRY,0
7525938,FI,81,NO-COUNTRY,0
7528514,FR,969,NO-COUNTRY,0
7534380,GB,801,NO-COUNTRY,0
7537671,HU,293,NO-COUNTRY,0
7538054,ID,2,NO-COUNTRY,0
7538096,IE,28,NO-COUNTRY,0
7538359,IL,158,NO-COUNTRY,0
7538847,IN,43,NO-COUNTRY,0
7538903,IS,1,NO-COUNTRY,0
7539793,IT,425,NO-COUNTRY,0
7541410,JO,1,NO-COUNTRY,0
7564047,JP,3909,NO-COUNTRY,0
7600888,KR,38,NO-COUNTRY,0
7601572,MC,5,NO-COUNTRY,0
7601579,MU,1,NO-COUNTRY,0
7601602,MX,7,NO-COUNTRY,0
7602352,NL,134,NO-COUNTRY,0
7603367,NO,33,NO-COUNTRY,0
7603497,NZ,6,NO-COUNTRY,0
7603594,SA,1,NO-COUNTRY,0
7603854,SE,160,NO-COUNTRY,0
7604730,SU,97,NO-COUNTRY,0
7605007,SY,1,NO-COUNTRY,0
7605008,TH,1,NO-COUNTRY,0
7605011,TR,2,NO-COUNTRY,0
7605192,TW,39,NO-COUNTRY,0
7638608,US,11225,NO-COUNTRY,0
7720402,UY,2,NO-COUNTRY,0
7720422,VE,4,NO-COUNTRY,0
7720452,YU,24,NO-COUNTRY,0
7720528,ZA,9,NO-COUNTRY,0
