,COUNTRY,PATENT,CITING_COUNTRY,PATENT_COUNTRY_NUMBER
8893380,AR,5,NO-COUNTRY,0
8893666,AT,36,NO-COUNTRY,0
8894521,AU,142,NO-COUNTRY,0
8896341,BE,142,NO-COUNTRY,0
8897425,BR,37,NO-COUNTRY,0
8897558,BS,4,NO-COUNTRY,0
8898606,CA,979,NO-COUNTRY,0
8904206,CH,148,NO-COUNTRY,0
8906130,CL,3,NO-COUNTRY,0
8906265,CN,8,NO-COUNTRY,0
8913713,DE,1552,NO-COUNTRY,0
8929933,DK,14,NO-COUNTRY,0
8930942,ES,55,NO-COUNTRY,0
8931574,FI,339,NO-COUNTRY,0
8934539,FR,958,NO-COUNTRY,0
8942407,GB,1117,NO-COUNTRY,0
8948143,GR,3,NO-COUNTRY,0
8948158,GT,1,NO-COUNTRY,0
8948186,HK,44,NO-COUNTRY,0
8948498,HU,5,NO-COUNTRY,0
8948749,IE,28,NO-COUNTRY,0
8949026,IL,516,NO-COUNTRY,0
8950698,IN,11,NO-COUNTRY,0
8950850,IS,4,NO-COUNTRY,0
8951662,IT,331,NO-COUNTRY,0
8969855,JP,20124,DE,2
8989979,JP,20124,NO-COUNTRY,0
9060840,KR,1527,NO-COUNTRY,0
9065723,LB,2,NO-COUNTRY,0
9065733,LI,2,NO-COUNTRY,0
9065781,LU,5,NO-COUNTRY,0
9065830,MC,1,NO-COUNTRY,0
9065871,MX,1,NO-COUNTRY,0
9065967,MY,7,NO-COUNTRY,0
9066634,NL,426,NO-COUNTRY,0
9068872,NO,27,NO-COUNTRY,0
9069231,NZ,26,NO-COUNTRY,0
9069413,PE,1,NO-COUNTRY,0
9069420,PH,2,NO-COUNTRY,0
9069442,PL,1,NO-COUNTRY,0
9069712,RU,71,NO-COUNTRY,0
9070218,SA,1,NO-COUNTRY,0
9070608,SE,362,NO-COUNTRY,0
9072476,SG,49,NO-COUNTRY,0
9073271,TW,631,NO-COUNTRY,0
9106018,US,37088,NO-COUNTRY,0
9251801,VG,1,NO-COUNTRY,0
9251857,ZA,21,NO-COUNTRY,0
