,COUNTRY,PATENT,CITING_COUNTRY,PATENT_COUNTRY_NUMBER
7118218,AR,1,NO-COUNTRY,0
7118318,AT,34,NO-COUNTRY,0
7119104,AU,36,NO-COUNTRY,0
7119838,BE,19,NO-COUNTRY,0
7120308,BG,2,NO-COUNTRY,0
7121112,CA,287,NO-COUNTRY,0
7124301,CH,45,NO-COUNTRY,0
7125791,CN,6,NO-COUNTRY,0
7125875,CR,3,NO-COUNTRY,0
7125929,CS,3,NO-COUNTRY,0
7131943,DE,709,NO-COUNTRY,0
7143559,DK,7,NO-COUNTRY,0
7143863,ES,2,NO-COUNTRY,0
7144256,FI,10,NO-COUNTRY,0
7145981,FR,578,NO-COUNTRY,0
7151538,GB,475,NO-COUNTRY,0
7155557,HK,1,NO-COUNTRY,0
7155765,HU,14,NO-COUNTRY,0
7156139,IE,8,NO-COUNTRY,0
7156362,IL,60,NO-COUNTRY,0
7156811,IN,2,NO-COUNTRY,0
7157471,IT,141,NO-COUNTRY,0
7159191,JM,1,NO-COUNTRY,0
7171190,JP,8067,NO-COUNTRY,0
7211997,KR,41,NO-COUNTRY,0
7212812,NL,173,NO-COUNTRY,0
7214145,NO,4,NO-COUNTRY,0
7214307,NZ,2,NO-COUNTRY,0
7214427,PL,2,NO-COUNTRY,0
7214476,SA,1,NO-COUNTRY,0
7214734,SE,59,NO-COUNTRY,0
7215728,SG,7,NO-COUNTRY,0
7215978,SU,43,NO-COUNTRY,0
7216625,TR,1,NO-COUNTRY,0
7216704,TW,72,NO-COUNTRY,0
7234998,US,9628,NO-COUNTRY,0
7301641,VE,4,NO-COUNTRY,0
7301665,YU,1,NO-COUNTRY,0
7301739,ZA,3,NO-COUNTRY,0
