,COUNTRY,PATENT,CITING_COUNTRY,PATENT_COUNTRY_NUMBER
5033708,AR,1,NO-COUNTRY,0
5033974,AT,39,NO-COUNTRY,0
5034385,AU,25,NO-COUNTRY,0
5035359,BE,28,NO-COUNTRY,0
5035579,BG,9,NO-COUNTRY,0
5035673,BR,2,NO-COUNTRY,0
5037074,CA,238,FR,2
5037312,CA,238,NO-COUNTRY,0
5037550,CA,238,US,1
5041211,CH,234,NO-COUNTRY,0
5041445,CH,234,SE,1
5041679,CH,234,US,4
5043639,CS,41,NO-COUNTRY,0
5069183,DE,1379,JP,2
5070562,DE,1379,NO-COUNTRY,0
5071941,DE,1379,US,3
5094287,DK,42,NO-COUNTRY,0
5094506,ES,5,NO-COUNTRY,0
5094640,FI,10,NO-COUNTRY,0
5098333,FR,638,IT,1
5098971,FR,638,NO-COUNTRY,0
5099609,FR,638,US,1
5110112,GB,692,DE,2
5110804,GB,692,JP,5
5111496,GB,692,NO-COUNTRY,0
5112188,GB,692,US,10
5117469,GH,2,NO-COUNTRY,0
5117493,HK,3,NO-COUNTRY,0
5117776,HU,36,NO-COUNTRY,0
5117939,IL,24,NO-COUNTRY,0
5119399,IT,97,NO-COUNTRY,0
5169267,JP,2498,FR,5
5171765,JP,2498,NO-COUNTRY,0
5174263,JP,2498,US,22
5199509,LI,3,NO-COUNTRY,0
5199524,LU,3,NO-COUNTRY,0
5199546,MA,3,NO-COUNTRY,0
5199559,MQ,1,NO-COUNTRY,0
5199575,MX,6,NO-COUNTRY,0
5199607,MY,1,NO-COUNTRY,0
5200197,NL,288,JP,4
5200485,NL,288,NO-COUNTRY,0
5201578,NO,13,NO-COUNTRY,0
5201671,NZ,3,NO-COUNTRY,0
5201710,PA,1,NO-COUNTRY,0
5201763,PL,9,NO-COUNTRY,0
5201822,RO,10,NO-COUNTRY,0
5202332,SE,170,NO-COUNTRY,0
5203951,SG,4,NO-COUNTRY,0
5204700,SU,368,FR,3
5205068,SU,368,NO-COUNTRY,0
5206469,TW,11,NO-COUNTRY,0
5320480,US,10199,CA,7
5330679,US,10199,DE,7
5340878,US,10199,FR,1
5351077,US,10199,GB,1
5361276,US,10199,JP,14
5371475,US,10199,NO-COUNTRY,0
5594431,YU,1,NO-COUNTRY,0
5594463,ZA,9,NO-COUNTRY,0
