,COUNTRY,PATENT,CITING_COUNTRY,PATENT_COUNTRY_NUMBER
8375551,AR,24,NO-COUNTRY,0
8375615,AT,167,NO-COUNTRY,0
8376405,AU,124,NO-COUNTRY,0
8377269,AZ,1,NO-COUNTRY,0
8377275,BE,484,NO-COUNTRY,0
8378467,BG,2,NO-COUNTRY,0
8378471,BR,17,NO-COUNTRY,0
8378575,BS,2,NO-COUNTRY,0
8378578,BY,4,NO-COUNTRY,0
8378594,CA,925,NO-COUNTRY,0
8382911,CH,686,NO-COUNTRY,0
8385091,CN,42,NO-COUNTRY,0
8385237,CS,22,NO-COUNTRY,0
8385281,DE,6087,NO-COUNTRY,0
8402692,DK,89,NO-COUNTRY,0
8403145,EG,3,NO-COUNTRY,0
8403155,ES,96,NO-COUNTRY,0
8403479,FI,292,NO-COUNTRY,0
8404390,FR,1492,NO-COUNTRY,0
8410697,GB,1145,NO-COUNTRY,0
8415662,GR,6,NO-COUNTRY,0
8415697,GT,1,NO-COUNTRY,0
8415699,HK,8,NO-COUNTRY,0
8415828,HR,3,NO-COUNTRY,0
8415838,HU,73,NO-COUNTRY,0
8416202,ID,5,NO-COUNTRY,0
8416207,IE,29,NO-COUNTRY,0
8416374,IL,131,NO-COUNTRY,0
8417497,IN,37,NO-COUNTRY,0
8417609,IT,677,NO-COUNTRY,0
8420209,JM,1,NO-COUNTRY,0
8420210,JO,1,NO-COUNTRY,0
8420211,JP,12788,NO-COUNTRY,0
8484978,KE,5,NO-COUNTRY,0
8484986,KR,520,NO-COUNTRY,0
8487831,LI,5,NO-COUNTRY,0
8487853,LU,12,NO-COUNTRY,0
8487897,MA,3,NO-COUNTRY,0
8487900,MC,2,NO-COUNTRY,0
8487906,MX,18,NO-COUNTRY,0
8488019,NL,358,NO-COUNTRY,0
8489646,NO,43,NO-COUNTRY,0
8489916,NZ,3,NO-COUNTRY,0
8489999,PH,1,NO-COUNTRY,0
8490003,PK,2,NO-COUNTRY,0
8490005,PL,19,NO-COUNTRY,0
8490059,PT,1,NO-COUNTRY,0
8490065,RO,1,NO-COUNTRY,0
8490072,RU,90,NO-COUNTRY,0
8490484,SA,6,NO-COUNTRY,0
8490498,SE,269,NO-COUNTRY,0
8492098,SG,13,NO-COUNTRY,0
8492270,SI,17,NO-COUNTRY,0
8492307,SU,25,NO-COUNTRY,0
8492358,TH,1,NO-COUNTRY,0
8492374,TR,6,NO-COUNTRY,0
8492384,TW,290,NO-COUNTRY,0
8495034,UA,10,NO-COUNTRY,0
8495076,US,23776,NO-COUNTRY,0
8622940,VE,34,NO-COUNTRY,0
8623002,YU,5,NO-COUNTRY,0
8623026,ZA,40,NO-COUNTRY,0
