,COUNTRY,PATENT,CITING_COUNTRY,PATENT_COUNTRY_NUMBER
6122881,AR,4,NO-COUNTRY,0
6123002,AT,27,NO-COUNTRY,0
6123430,AU,47,NO-COUNTRY,0
6123848,BE,44,NO-COUNTRY,0
6124058,BG,3,NO-COUNTRY,0
6124569,CA,88,NO-COUNTRY,0
6126331,CH,167,NO-COUNTRY,0
6132180,DE,940,NO-COUNTRY,0
6139332,DK,29,NO-COUNTRY,0
6139494,ES,13,NO-COUNTRY,0
6139627,FI,4,NO-COUNTRY,0
6140998,FR,396,NO-COUNTRY,0
6144335,GB,378,NO-COUNTRY,0
6146463,GR,3,NO-COUNTRY,0
6146718,HU,139,NO-COUNTRY,0
6146999,IE,4,NO-COUNTRY,0
6147092,IL,19,NO-COUNTRY,0
6147229,IN,3,NO-COUNTRY,0
6147632,IT,173,NO-COUNTRY,0
6156654,JP,1427,NO-COUNTRY,0
6170413,KR,3,NO-COUNTRY,0
6170539,MX,5,NO-COUNTRY,0
6171001,NL,53,NO-COUNTRY,0
6171685,NO,13,NO-COUNTRY,0
6171763,NZ,2,NO-COUNTRY,0
6171840,PL,6,NO-COUNTRY,0
6171885,PT,1,NO-COUNTRY,0
6171892,RO,1,NO-COUNTRY,0
6172113,SE,48,NO-COUNTRY,0
6173178,SU,89,NO-COUNTRY,0
6174207,TW,2,NO-COUNTRY,0
6191785,US,3374,NO-COUNTRY,0
6225422,YU,7,NO-COUNTRY,0
6225464,ZA,4,NO-COUNTRY,0
