,COUNTRY,PATENT,CITING_COUNTRY,PATENT_COUNTRY_NUMBER
6618620,AR,1,NO-COUNTRY,0
6618737,AT,14,NO-COUNTRY,0
6619422,AU,24,NO-COUNTRY,0
6620100,BE,29,NO-COUNTRY,0
6620577,BR,2,NO-COUNTRY,0
6621058,CA,244,NO-COUNTRY,0
6623799,CH,73,NO-COUNTRY,0
6625411,CN,1,NO-COUNTRY,0
6625614,CU,1,NO-COUNTRY,0
6630450,DE,745,NO-COUNTRY,0
6642533,DK,5,NO-COUNTRY,0
6642820,ES,1,NO-COUNTRY,0
6643052,FI,8,NO-COUNTRY,0
6644605,FR,469,NO-COUNTRY,0
6649936,GB,461,NO-COUNTRY,0
6653696,HK,3,NO-COUNTRY,0
6653977,HU,9,NO-COUNTRY,0
6654415,IE,11,NO-COUNTRY,0
6654547,IL,25,NO-COUNTRY,0
6655350,IT,143,NO-COUNTRY,0
6665584,JP,6030,NO-COUNTRY,0
6698769,KR,13,NO-COUNTRY,0
6698869,KW,1,NO-COUNTRY,0
6699384,NL,230,NO-COUNTRY,0
6700663,NO,31,NO-COUNTRY,0
6700849,NZ,2,NO-COUNTRY,0
6700939,PK,1,NO-COUNTRY,0
6700964,PL,2,NO-COUNTRY,0
6701244,SE,56,NO-COUNTRY,0
6702435,SG,4,NO-COUNTRY,0
6702575,SU,4,NO-COUNTRY,0
6703044,TR,3,NO-COUNTRY,0
6703068,TW,16,NO-COUNTRY,0
6717789,US,7466,NO-COUNTRY,0
6775426,VE,4,NO-COUNTRY,0
6775448,YU,1,NO-COUNTRY,0
6775477,ZA,3,NO-COUNTRY,0
