,COUNTRY,PATENT,CITING_COUNTRY,PATENT_COUNTRY_NUMBER
16,AR,8,DE,1
24,AR,8,NO-COUNTRY,0
1173,AT,225,CH,3
1398,AT,225,DE,18
1623,AT,225,FI,2
1848,AT,225,FR,4
2073,AT,225,GB,1
2298,AT,225,IT,2
2523,AT,225,JP,7
2748,AT,225,LI,2
2973,AT,225,NO-COUNTRY,0
3198,AT,225,US,32
5051,AU,99,CA,1
5150,AU,99,DE,1
5249,AU,99,FR,1
5348,AU,99,GB,2
5447,AU,99,JP,3
5546,AU,99,NO-COUNTRY,0
5645,AU,99,SE,1
5744,AU,99,US,29
6433,BB,1,NO-COUNTRY,0
9470,BE,107,AT,2
9577,BE,107,DE,6
9684,BE,107,ES,5
9791,BE,107,FR,4
9898,BE,107,JP,10
10005,BE,107,NL,1
10112,BE,107,NO-COUNTRY,0
10219,BE,107,US,39
10613,BG,21,DE,4
10634,BG,21,GB,2
10655,BG,21,NO-COUNTRY,0
10676,BG,21,SU,4
10716,BR,7,NO-COUNTRY,0
10741,BS,2,NO-COUNTRY,0
18429,CA,561,AT,2
18990,CA,561,AU,5
19551,CA,561,BO,1
20112,CA,561,CH,5
20673,CA,561,DE,17
21234,CA,561,FI,3
21795,CA,561,FR,4
22356,CA,561,GB,10
22917,CA,561,GR,7
23478,CA,561,IL,2
24039,CA,561,JP,21
24600,CA,561,NL,1
25161,CA,561,NO-COUNTRY,0
25722,CA,561,US,128
51818,CH,384,AT,6
52202,CH,384,BS,1
52586,CH,384,CA,1
52970,CH,384,DE,24
53354,CH,384,DK,2
53738,CH,384,ES,1
54122,CH,384,FR,4
54506,CH,384,GB,3
54890,CH,384,IT,5
55274,CH,384,JP,13
55658,CH,384,NO-COUNTRY,0
56042,CH,384,PL,2
56426,CH,384,SE,2
56810,CH,384,SU,1
57194,CH,384,US,67
65452,CL,3,FR,3
66266,CS,55,NO-COUNTRY,0
66321,CS,55,US,21
193644,DE,3079,AT,26
196723,DE,3079,AU,6
199802,DE,3079,BE,13
202881,DE,3079,CA,2
205960,DE,3079,CH,19
209039,DE,3079,CS,7
212118,DE,3079,DK,5
215197,DE,3079,ES,2
218276,DE,3079,FI,2
221355,DE,3079,FR,68
224434,DE,3079,GB,71
227513,DE,3079,HK,4
230592,DE,3079,IT,29
233671,DE,3079,JP,222
236750,DE,3079,MC,2
239829,DE,3079,MX,1
242908,DE,3079,NL,15
245987,DE,3079,NO,1
249066,DE,3079,NO-COUNTRY,0
252145,DE,3079,PL,2
255224,DE,3079,RO,1
258303,DE,3079,SE,18
261382,DE,3079,SU,13
264461,DE,3079,TW,1
267540,DE,3079,US,686
305510,DK,57,CA,3
305567,DK,57,DE,2
305624,DK,57,FR,1
305681,DK,57,NO,1
305738,DK,57,NO-COUNTRY,0
305795,DK,57,US,9
306176,ES,28,AT,1
306204,ES,28,JP,1
306232,ES,28,NO-COUNTRY,0
306260,ES,28,US,7
306771,FI,72,AU,3
306843,FI,72,CA,4
306915,FI,72,CH,1
306987,FI,72,DE,1
307059,FI,72,FR,1
307131,FI,72,IT,1
307203,FI,72,JP,3
307275,FI,72,NO-COUNTRY,0
307347,FI,72,SU,1
307419,FI,72,US,7
336988,FR,898,AT,4
337886,FR,898,AU,1
338784,FR,898,CA,3
339682,FR,898,CH,11
340580,FR,898,DE,31
341478,FR,898,GB,21
342376,FR,898,IT,12
343274,FR,898,JP,40
344172,FR,898,NL,3
345070,FR,898,NO,1
345968,FR,898,NO-COUNTRY,0
346866,FR,898,SE,3
347764,FR,898,US,159
405144,GB,1207,AU,3
406351,GB,1207,BE,2
407558,GB,1207,CA,6
408765,GB,1207,CH,4
409972,GB,1207,DE,49
411179,GB,1207,ES,2
412386,GB,1207,FR,26
413593,GB,1207,IE,2
414800,GB,1207,IL,2
416007,GB,1207,IT,7
417214,GB,1207,JP,75
418421,GB,1207,NL,4
419628,GB,1207,NO-COUNTRY,0
420835,GB,1207,SE,5
422042,GB,1207,SU,3
423249,GB,1207,US,276
442323,GR,4,NO-COUNTRY,0
442333,HK,1,NO-COUNTRY,0
443497,HU,30,DE,4
443527,HU,30,GB,2
443557,HU,30,GY,7
443587,HU,30,NO-COUNTRY,0
443617,HU,30,US,9
443661,IE,5,NO-COUNTRY,0
443666,IE,5,SE,1
443671,IE,5,US,2
444011,IL,26,CH,1
444037,IL,26,DE,1
444063,IL,26,JP,1
444089,IL,26,NO-COUNTRY,0
444115,IL,26,SE,1
444141,IL,26,US,3
444316,IN,5,DE,1
444321,IN,5,NO-COUNTRY,0
444326,IN,5,US,1
444336,IR,2,NO-COUNTRY,0
444341,IS,1,NO-COUNTRY,0
451917,IT,285,AT,4
452202,IT,285,BE,1
452487,IT,285,CA,2
452772,IT,285,CH,3
453057,IT,285,CS,2
453342,IT,285,DE,35
453627,IT,285,ES,1
453912,IT,285,FR,5
454197,IT,285,GB,2
454482,IT,285,IE,4
454767,IT,285,JP,15
455052,IT,285,NL,2
455337,IT,285,NO-COUNTRY,0
455622,IT,285,PL,1
455907,IT,285,SE,1
456192,IT,285,US,57
458689,JM,1,NO-COUNTRY,0
640082,JP,3611,AT,5
643693,JP,3611,AU,4
647304,JP,3611,BE,5
650915,JP,3611,CA,13
654526,JP,3611,CH,12
658137,JP,3611,DE,186
661748,JP,3611,ES,3
665359,JP,3611,FR,47
668970,JP,3611,GB,65
