,COUNTRY,PATENT,CITING_COUNTRY,PATENT_COUNTRY_NUMBER
6775602,AR,2,NO-COUNTRY,0
6775735,AT,19,NO-COUNTRY,0
6776373,AU,28,NO-COUNTRY,0
6777147,BE,27,NO-COUNTRY,0
6777522,BG,2,NO-COUNTRY,0
6777603,BR,8,NO-COUNTRY,0
6778071,CA,250,NO-COUNTRY,0
6780588,CH,69,NO-COUNTRY,0
6782175,CR,1,NO-COUNTRY,0
6782225,CS,3,NO-COUNTRY,0
6787543,DE,838,NO-COUNTRY,0
6798521,DK,1,NO-COUNTRY,0
6798743,ES,4,NO-COUNTRY,0
6799034,FI,3,NO-COUNTRY,0
6800460,FR,598,NO-COUNTRY,0
6805596,GB,478,NO-COUNTRY,0
6808996,HK,2,NO-COUNTRY,0
6809175,HU,12,NO-COUNTRY,0
6809581,IE,8,NO-COUNTRY,0
6809727,IL,28,NO-COUNTRY,0
6810635,IT,116,NO-COUNTRY,0
6820861,JP,6497,NO-COUNTRY,0
6854165,KR,22,NO-COUNTRY,0
6854283,KY,1,NO-COUNTRY,0
6854409,MX,1,NO-COUNTRY,0
6854815,NL,176,NO-COUNTRY,0
6855896,NO,26,NO-COUNTRY,0
6856151,PL,2,NO-COUNTRY,0
6856407,SE,66,NO-COUNTRY,0
6857569,SU,4,NO-COUNTRY,0
6857923,TR,2,NO-COUNTRY,0
6857926,TT,3,NO-COUNTRY,0
6857964,TW,26,NO-COUNTRY,0
6872939,US,7343,NO-COUNTRY,0
6927458,VE,3,NO-COUNTRY,0
6927488,YU,1,NO-COUNTRY,0
6927550,ZA,3,NO-COUNTRY,0
