,COUNTRY,PATENT,CITING_COUNTRY,PATENT_COUNTRY_NUMBER
5708438,AR,5,NO-COUNTRY,0
5708559,AT,24,NO-COUNTRY,0
5708924,AU,25,NO-COUNTRY,0
5709319,BE,43,NO-COUNTRY,0
5709506,BG,2,NO-COUNTRY,0
5709536,BR,1,NO-COUNTRY,0
5709947,CA,64,NO-COUNTRY,0
5711494,CH,169,NO-COUNTRY,0
5712443,CL,1,NO-COUNTRY,0
5712446,CO,1,NO-COUNTRY,0
5712504,CS,8,NO-COUNTRY,0
5712592,CU,5,NO-COUNTRY,0
5716264,DE,962,NO-COUNTRY,0
5722277,DK,14,NO-COUNTRY,0
5722400,EC,1,NO-COUNTRY,0
5722441,ES,23,NO-COUNTRY,0
5722548,FI,3,NO-COUNTRY,0
5723670,FR,320,NO-COUNTRY,0
5726488,GB,380,NO-COUNTRY,0
5728732,HU,49,NO-COUNTRY,0
5728952,IL,19,NO-COUNTRY,0
5729057,IN,5,NO-COUNTRY,0
5729518,IT,121,NO-COUNTRY,0
5735144,JP,770,NO-COUNTRY,0
5743219,LU,2,NO-COUNTRY,0
5743260,MX,1,NO-COUNTRY,0
5743621,NL,54,NO-COUNTRY,0
5744192,NO,2,NO-COUNTRY,0
5744271,NZ,2,NO-COUNTRY,0
5744363,PL,20,NO-COUNTRY,0
5744669,SE,72,NO-COUNTRY,0
5746051,SU,96,NO-COUNTRY,0
5762929,US,2672,NO-COUNTRY,0
5793528,VE,3,NO-COUNTRY,0
5793580,ZA,7,NO-COUNTRY,0
