,COUNTRY,PATENT,CITING_COUNTRY,PATENT_COUNTRY_NUMBER
6122886,AR,5,NO-COUNTRY,0
6123080,AT,184,NO-COUNTRY,0
6123508,AU,87,NO-COUNTRY,0
6123939,BE,55,NO-COUNTRY,0
6124074,BG,29,NO-COUNTRY,0
6124108,BR,23,NO-COUNTRY,0
6124143,BS,2,NO-COUNTRY,0
6124898,CA,338,NO-COUNTRY,0
6126673,CH,260,NO-COUNTRY,0
6127288,CO,1,NO-COUNTRY,0
6127329,CS,30,NO-COUNTRY,0
6134723,DE,2760,NO-COUNTRY,0
6139380,DK,41,NO-COUNTRY,0
6139516,ES,7,NO-COUNTRY,0
6139658,FI,85,NO-COUNTRY,0
6141993,FR,699,NO-COUNTRY,0
6145182,GB,705,NO-COUNTRY,0
6146476,HK,4,NO-COUNTRY,0
6146890,HU,19,NO-COUNTRY,0
6147010,IE,3,NO-COUNTRY,0
6147150,IL,26,NO-COUNTRY,0
6147232,IN,3,NO-COUNTRY,0
6147899,IT,250,NO-COUNTRY,0
6162030,JP,5557,NO-COUNTRY,0
6170417,KR,4,NO-COUNTRY,0
6170442,LI,13,NO-COUNTRY,0
6170469,LU,38,NO-COUNTRY,0
6170521,MC,1,NO-COUNTRY,0
6170546,MX,20,NO-COUNTRY,0
6170571,MY,2,NO-COUNTRY,0
6171305,NL,167,NO-COUNTRY,0
6171706,NO,23,NO-COUNTRY,0
6171767,NZ,9,NO-COUNTRY,0
6171801,PA,1,NO-COUNTRY,0
6171802,PE,1,NO-COUNTRY,0
6171804,PH,10,NO-COUNTRY,0
6171851,PL,15,NO-COUNTRY,0
6171890,PY,2,NO-COUNTRY,0
6171903,SA,2,NO-COUNTRY,0
6172288,SE,296,NO-COUNTRY,0
6172852,SG,5,NO-COUNTRY,0
6173552,SU,417,NO-COUNTRY,0
6174191,SV,1,NO-COUNTRY,0
6174217,TW,13,NO-COUNTRY,0
6203440,US,10459,NO-COUNTRY,0
6225412,UY,1,NO-COUNTRY,0
6225414,VE,1,NO-COUNTRY,0
6225432,YU,7,NO-COUNTRY,0
6225475,ZA,19,NO-COUNTRY,0
6225523,ZW,5,NO-COUNTRY,0
