,COUNTRY,PATENT,CITING_COUNTRY,PATENT_COUNTRY_NUMBER
7499691,AR,2,NO-COUNTRY,0
7500063,AT,250,NO-COUNTRY,0
7500785,AU,138,NO-COUNTRY,0
7501624,BE,92,NO-COUNTRY,0
7501879,BG,4,NO-COUNTRY,0
7501901,BR,32,NO-COUNTRY,0
7501950,BS,1,NO-COUNTRY,0
7503755,CA,634,NO-COUNTRY,0
7506645,CH,387,NO-COUNTRY,0
7507470,CL,3,NO-COUNTRY,0
7507553,CN,14,NO-COUNTRY,0
7507634,CS,5,NO-COUNTRY,0
7518636,DE,4009,NO-COUNTRY,0
7525348,DK,38,NO-COUNTRY,0
7525610,ES,41,NO-COUNTRY,0
7526102,FI,195,NO-COUNTRY,0
7530620,FR,1248,NO-COUNTRY,0
7535865,GB,838,NO-COUNTRY,0
7537369,GR,4,NO-COUNTRY,0
7537375,GY,1,NO-COUNTRY,0
7537409,HK,13,NO-COUNTRY,0
7537981,HU,19,NO-COUNTRY,0
7538056,ID,6,NO-COUNTRY,0
7538144,IE,16,NO-COUNTRY,0
7538606,IL,95,NO-COUNTRY,0
7538897,IN,2,NO-COUNTRY,0
7540488,IT,513,NO-COUNTRY,0
7580399,JP,14031,NO-COUNTRY,0
7601278,KR,115,NO-COUNTRY,0
7601493,LB,1,NO-COUNTRY,0
7601502,LI,10,NO-COUNTRY,0
7601538,LU,21,NO-COUNTRY,0
7601611,MX,22,NO-COUNTRY,0
7602844,NL,242,NO-COUNTRY,0
7603416,NO,33,NO-COUNTRY,0
7603516,NZ,15,NO-COUNTRY,0
7603559,PE,1,NO-COUNTRY,0
7603572,PH,1,NO-COUNTRY,0
7603585,PL,5,NO-COUNTRY,0
7603596,SA,5,NO-COUNTRY,0
7604133,SE,285,NO-COUNTRY,0
7604659,SG,3,NO-COUNTRY,0
7604873,SU,79,NO-COUNTRY,0
7605013,TR,1,NO-COUNTRY,0
7605495,TW,281,NO-COUNTRY,0
7682615,US,18096,NO-COUNTRY,0
7720433,VE,8,NO-COUNTRY,0
7720480,YU,1,NO-COUNTRY,0
7720560,ZA,25,NO-COUNTRY,0
