,COUNTRY,PATENT,CITING_COUNTRY,PATENT_COUNTRY_NUMBER
6775600,AR,2,NO-COUNTRY,0
6775622,AT,113,NO-COUNTRY,0
6776241,AU,132,NO-COUNTRY,0
6776901,BE,246,NO-COUNTRY,0
6777521,BG,1,NO-COUNTRY,0
6777591,BM,1,NO-COUNTRY,0
6777597,BR,6,NO-COUNTRY,0
6777644,BS,1,NO-COUNTRY,0
6777647,CA,424,NO-COUNTRY,0
6779992,CH,596,NO-COUNTRY,0
6782050,CL,2,NO-COUNTRY,0
6782060,CN,30,NO-COUNTRY,0
6782177,CS,48,NO-COUNTRY,0
6782293,DE,5250,NO-COUNTRY,0
6798477,DK,44,NO-COUNTRY,0
6798717,ES,26,NO-COUNTRY,0
6798921,FI,113,NO-COUNTRY,0
6799318,FR,1142,NO-COUNTRY,0
6804543,GB,1053,NO-COUNTRY,0
6808980,GR,1,NO-COUNTRY,0
6808992,HK,4,NO-COUNTRY,0
6809040,HU,135,NO-COUNTRY,0
6809560,IE,21,NO-COUNTRY,0
6809639,IL,88,NO-COUNTRY,0
6810066,IN,15,NO-COUNTRY,0
6810119,IT,516,NO-COUNTRY,0
6812044,JP,8817,NO-COUNTRY,0
6854144,KR,21,NO-COUNTRY,0
6854301,LU,10,NO-COUNTRY,0
6854390,MA,3,NO-COUNTRY,0
6854394,MC,1,NO-COUNTRY,0
6854401,MU,1,NO-COUNTRY,0
6854402,MX,7,NO-COUNTRY,0
6854476,NL,339,NO-COUNTRY,0
6855869,NO,27,NO-COUNTRY,0
6856048,NZ,14,NO-COUNTRY,0
6856137,PH,1,NO-COUNTRY,0
6856142,PL,9,NO-COUNTRY,0
6856174,PT,2,NO-COUNTRY,0
6856186,SA,3,NO-COUNTRY,0
6856190,SE,217,NO-COUNTRY,0
6857445,SU,124,NO-COUNTRY,0
6857921,TH,1,NO-COUNTRY,0
6857933,TW,31,NO-COUNTRY,0
6858455,US,14484,NO-COUNTRY,0
6927436,VE,22,NO-COUNTRY,0
6927477,YU,11,NO-COUNTRY,0
6927510,ZA,40,NO-COUNTRY,0
