,COUNTRY,PATENT,CITING_COUNTRY,PATENT_COUNTRY_NUMBER
6618621,AR,8,NO-COUNTRY,0
6618751,AT,45,NO-COUNTRY,0
6619446,AU,37,NO-COUNTRY,0
6620129,BE,69,NO-COUNTRY,0
6620453,BG,8,NO-COUNTRY,0
6620551,BM,1,NO-COUNTRY,0
6620579,BR,3,NO-COUNTRY,0
6620617,BS,1,NO-COUNTRY,0
6621302,CA,163,NO-COUNTRY,0
6623872,CH,225,NO-COUNTRY,0
6625389,CL,4,NO-COUNTRY,0
6625446,CR,2,NO-COUNTRY,0
6625525,CS,30,NO-COUNTRY,0
6631195,DE,1528,NO-COUNTRY,0
6642538,DK,48,NO-COUNTRY,0
6642821,ES,26,NO-COUNTRY,0
6643060,FI,55,NO-COUNTRY,0
6645074,FR,586,NO-COUNTRY,0
6650397,GB,575,NO-COUNTRY,0
6653690,GT,1,NO-COUNTRY,0
6653699,HK,1,NO-COUNTRY,0
6653986,HU,261,NO-COUNTRY,0
6654426,IE,4,NO-COUNTRY,0
6654572,IL,79,NO-COUNTRY,0
6654899,IN,7,NO-COUNTRY,0
6654913,IS,1,NO-COUNTRY,0
6655493,IT,254,NO-COUNTRY,0
6671614,JP,2243,NO-COUNTRY,0
6698782,KR,1,NO-COUNTRY,0
6698946,MC,2,NO-COUNTRY,0
6698958,MX,9,NO-COUNTRY,0
6699614,NL,83,NO-COUNTRY,0
6700694,NO,8,NO-COUNTRY,0
6700851,NZ,11,NO-COUNTRY,0
6700933,PH,3,NO-COUNTRY,0
6700966,PL,1,NO-COUNTRY,0
6700993,RO,4,NO-COUNTRY,0
6701300,SE,161,NO-COUNTRY,0
6702439,SG,2,NO-COUNTRY,0
6702579,SU,121,NO-COUNTRY,0
6703084,TW,8,NO-COUNTRY,0
6725255,US,6518,NO-COUNTRY,0
6775430,VE,5,NO-COUNTRY,0
6775449,YU,6,NO-COUNTRY,0
6775480,ZA,8,NO-COUNTRY,0
