,COUNTRY,PATENT,CITING_COUNTRY,PATENT_COUNTRY_NUMBER
5594525,AR,6,NO-COUNTRY,0
5594623,AT,22,NO-COUNTRY,0
5595133,AU,18,NO-COUNTRY,0
5595671,BE,32,NO-COUNTRY,0
5596065,BR,1,NO-COUNTRY,0
5596664,CA,96,NO-COUNTRY,0
5598779,CH,202,NO-COUNTRY,0
5600007,CO,2,NO-COUNTRY,0
5600120,CS,19,NO-COUNTRY,0
5605112,DE,1056,NO-COUNTRY,0
5612614,DK,23,NO-COUNTRY,0
5612828,ES,12,NO-COUNTRY,0
5612986,FI,4,NO-COUNTRY,0
5614407,FR,371,NO-COUNTRY,0
5618418,GB,442,NO-COUNTRY,0
5621509,HU,57,NO-COUNTRY,0
5621703,IL,32,NO-COUNTRY,0
5621838,IN,12,NO-COUNTRY,0
5621859,IR,3,NO-COUNTRY,0
5622432,IT,138,NO-COUNTRY,0
5630080,JP,1090,NO-COUNTRY,0
5640633,KR,5,NO-COUNTRY,0
5640653,LI,2,NO-COUNTRY,0
5640706,MG,1,NO-COUNTRY,0
5640713,MX,4,NO-COUNTRY,0
5641169,NL,43,NO-COUNTRY,0
5641849,NO,1,NO-COUNTRY,0
5642082,PL,1,NO-COUNTRY,0
5642500,SE,89,NO-COUNTRY,0
5644331,SU,84,NO-COUNTRY,0
5645885,TW,3,NO-COUNTRY,0
5667173,US,3212,NO-COUNTRY,0
5708296,YU,1,NO-COUNTRY,0
5708355,ZA,5,NO-COUNTRY,0
