,COUNTRY,PATENT,CITING_COUNTRY,PATENT_COUNTRY_NUMBER
8375550,AG,1,NO-COUNTRY,0
8375601,AR,6,NO-COUNTRY,0
8375972,AT,274,NO-COUNTRY,0
8376847,AU,197,NO-COUNTRY,0
8378142,BE,125,NO-COUNTRY,0
8378470,BO,1,NO-COUNTRY,0
8378525,BR,21,NO-COUNTRY,0
8378588,BY,6,NO-COUNTRY,0
8381260,CA,758,NO-COUNTRY,0
8384353,CH,325,NO-COUNTRY,0
8385085,CL,5,NO-COUNTRY,0
8385198,CN,25,NO-COUNTRY,0
8385235,CR,2,NO-COUNTRY,0
8385261,CS,1,NO-COUNTRY,0
8385274,CZ,1,NO-COUNTRY,0
8396643,DE,3816,NO-COUNTRY,0
8402992,DK,51,NO-COUNTRY,0
8403143,EE,2,NO-COUNTRY,0
8403395,ES,44,NO-COUNTRY,0
8404151,FI,136,NO-COUNTRY,0
8408995,FR,961,NO-COUNTRY,0
8414199,GB,782,NO-COUNTRY,0
8415690,GR,2,NO-COUNTRY,0
8415749,HK,17,NO-COUNTRY,0
8415836,HR,1,NO-COUNTRY,0
8416177,HU,11,NO-COUNTRY,0
8416321,IE,12,NO-COUNTRY,0
8417276,IL,100,NO-COUNTRY,0
8417588,IN,6,NO-COUNTRY,0
8417607,IS,1,NO-COUNTRY,0
8419364,IT,390,NO-COUNTRY,0
8465106,JP,13662,NO-COUNTRY,0
8487198,KR,374,NO-COUNTRY,0
8487825,KW,1,NO-COUNTRY,0
8487830,KY,1,NO-COUNTRY,0
8487839,LI,4,NO-COUNTRY,0
8487852,LK,1,NO-COUNTRY,0
8487865,LU,21,NO-COUNTRY,0
8487904,MO,2,NO-COUNTRY,0
8487936,MX,26,NO-COUNTRY,0
8488003,MY,9,NO-COUNTRY,0
8489220,NL,195,NO-COUNTRY,0
8489813,NO,49,NO-COUNTRY,0
8489954,NZ,14,NO-COUNTRY,0
8489996,PE,1,NO-COUNTRY,0
8490034,PL,14,NO-COUNTRY,0
8490070,RO,2,NO-COUNTRY,0
8490342,RU,100,NO-COUNTRY,0
8491579,SE,309,NO-COUNTRY,0
8492234,SG,13,NO-COUNTRY,0
8492302,SI,2,NO-COUNTRY,0
8492305,SK,2,NO-COUNTRY,0
8492345,SU,12,NO-COUNTRY,0
8492365,TH,1,NO-COUNTRY,0
8493851,TW,525,NO-COUNTRY,0
8495056,UA,17,NO-COUNTRY,0
8580733,US,19985,NO-COUNTRY,0
8622935,UZ,5,NO-COUNTRY,0
8622986,VE,4,NO-COUNTRY,0
8623127,ZA,58,NO-COUNTRY,0
