,COUNTRY,PATENT,CITING_COUNTRY,PATENT_COUNTRY_NUMBER
6618618,AD,1,NO-COUNTRY,0
6618630,AR,1,NO-COUNTRY,0
6618857,AT,275,NO-COUNTRY,0
6619533,AU,148,NO-COUNTRY,0
6620245,BE,66,NO-COUNTRY,0
6620496,BG,26,NO-COUNTRY,0
6620556,BO,2,NO-COUNTRY,0
6620589,BR,10,NO-COUNTRY,0
6621836,CA,571,NO-COUNTRY,0
6624457,CH,460,NO-COUNTRY,0
6625388,CI,1,NO-COUNTRY,0
6625393,CL,6,NO-COUNTRY,0
6625423,CN,10,NO-COUNTRY,0
6625445,CO,1,NO-COUNTRY,0
6625577,CS,24,NO-COUNTRY,0
6635277,DE,4409,NO-COUNTRY,0
6642644,DK,74,NO-COUNTRY,0
6642795,EG,2,NO-COUNTRY,0
6642867,ES,36,NO-COUNTRY,0
6643215,FI,132,NO-COUNTRY,0
6646919,FR,1106,NO-COUNTRY,0
6651813,GB,990,NO-COUNTRY,0
6653712,HK,5,NO-COUNTRY,0
6654302,HU,23,NO-COUNTRY,0
6654449,IE,2,NO-COUNTRY,0
6654716,IL,78,NO-COUNTRY,0
6654910,IR,1,NO-COUNTRY,0
6654914,IS,1,NO-COUNTRY,0
6656014,IT,482,NO-COUNTRY,0
6682560,JP,11163,NO-COUNTRY,0
6698817,KR,19,NO-COUNTRY,0
6698870,KW,1,NO-COUNTRY,0
6698881,LI,15,NO-COUNTRY,0
6698908,LU,27,NO-COUNTRY,0
6698974,MX,37,NO-COUNTRY,0
6700174,NL,237,NO-COUNTRY,0
6700733,NO,46,NO-COUNTRY,0
6700868,NZ,24,NO-COUNTRY,0
6700929,PA,1,NO-COUNTRY,0
6700931,PE,1,NO-COUNTRY,0
6700937,PH,1,NO-COUNTRY,0
6700968,PL,15,NO-COUNTRY,0
6700997,RO,8,NO-COUNTRY,0
6701015,SA,2,NO-COUNTRY,0
6701671,SE,428,NO-COUNTRY,0
6702441,SG,3,NO-COUNTRY,0
6702747,SU,203,NO-COUNTRY,0
6703050,TT,1,NO-COUNTRY,0
6703146,TW,109,NO-COUNTRY,0
6745406,US,13758,NO-COUNTRY,0
6775435,VE,3,NO-COUNTRY,0
6775464,YU,1,NO-COUNTRY,0
6775501,ZA,46,NO-COUNTRY,0
