,COUNTRY,PATENT,CITING_COUNTRY,PATENT_COUNTRY_NUMBER
8623242,AR,6,NO-COUNTRY,0
8623293,AT,197,NO-COUNTRY,0
8624062,AU,199,NO-COUNTRY,0
8624932,BE,612,NO-COUNTRY,0
8626241,BG,13,NO-COUNTRY,0
8626261,BR,30,NO-COUNTRY,0
8626375,BS,7,NO-COUNTRY,0
8626403,CA,902,NO-COUNTRY,0
8631000,CH,667,NO-COUNTRY,0
8633198,CL,6,NO-COUNTRY,0
8633208,CN,85,NO-COUNTRY,0
8633382,CO,16,NO-COUNTRY,0
8633484,CY,1,NO-COUNTRY,0
8633486,CZ,1,NO-COUNTRY,0
8633509,DE,5962,NO-COUNTRY,0
8651583,DK,182,NO-COUNTRY,0
8652366,ES,66,NO-COUNTRY,0
8652721,FI,284,NO-COUNTRY,0
8653647,FR,1474,NO-COUNTRY,0
8660550,GB,1341,NO-COUNTRY,0
8666170,GR,2,NO-COUNTRY,0
8666187,GT,1,NO-COUNTRY,0
8666189,HK,7,NO-COUNTRY,0
8666303,HR,5,NO-COUNTRY,0
8666324,HU,39,NO-COUNTRY,0
8666459,ID,4,NO-COUNTRY,0
8666472,IE,19,NO-COUNTRY,0
8666622,IL,139,NO-COUNTRY,0
8667796,IN,73,NO-COUNTRY,0
8667947,IT,690,NO-COUNTRY,0
8670570,JP,13018,NO-COUNTRY,0
8749203,KR,503,NO-COUNTRY,0
8752753,KZ,4,NO-COUNTRY,0
8752759,LI,11,NO-COUNTRY,0
8752784,LT,3,NO-COUNTRY,0
8752790,LU,8,NO-COUNTRY,0
8752851,MX,3,NO-COUNTRY,0
8752970,NL,401,NO-COUNTRY,0
8754713,NO,35,NO-COUNTRY,0
8754983,NZ,29,NO-COUNTRY,0
8755171,PH,2,NO-COUNTRY,0
8755176,PL,20,NO-COUNTRY,0
8755224,PT,2,NO-COUNTRY,0
8755242,RU,172,NO-COUNTRY,0
8755633,SA,1,NO-COUNTRY,0
8755647,SE,240,NO-COUNTRY,0
8757343,SG,11,NO-COUNTRY,0
8757519,SI,5,NO-COUNTRY,0
8757538,SK,3,NO-COUNTRY,0
8757544,SU,7,NO-COUNTRY,0
8757569,TR,2,NO-COUNTRY,0
8757580,TW,335,NO-COUNTRY,0
8760539,UA,2,NO-COUNTRY,0
8760566,US,23979,NO-COUNTRY,0
8893121,VE,52,NO-COUNTRY,0
8893200,ZA,33,NO-COUNTRY,0
