,COUNTRY,PATENT,CITING_COUNTRY,PATENT_COUNTRY_NUMBER
7720640,AR,12,NO-COUNTRY,0
7720818,AT,68,NO-COUNTRY,0
7721440,AU,141,NO-COUNTRY,0
7722400,BE,112,NO-COUNTRY,0
7722753,BG,3,NO-COUNTRY,0
7722780,BR,9,NO-COUNTRY,0
7723932,CA,395,NO-COUNTRY,0
7727102,CH,362,NO-COUNTRY,0
7728430,CL,4,NO-COUNTRY,0
7728491,CN,10,NO-COUNTRY,0
7728578,CO,3,NO-COUNTRY,0
7728602,CS,15,NO-COUNTRY,0
7728632,CU,6,NO-COUNTRY,0
7735308,DE,1901,NO-COUNTRY,0
7745580,DK,128,NO-COUNTRY,0
7745864,EG,2,NO-COUNTRY,0
7745970,ES,60,NO-COUNTRY,0
7746423,FI,42,NO-COUNTRY,0
7749053,FR,1050,NO-COUNTRY,0
7754654,GB,897,NO-COUNTRY,0
7757554,GR,3,NO-COUNTRY,0
7757575,HK,4,NO-COUNTRY,0
7757633,HR,3,NO-COUNTRY,0
7757799,HU,213,NO-COUNTRY,0
7758106,IE,14,NO-COUNTRY,0
7758426,IL,133,NO-COUNTRY,0
7758871,IN,76,NO-COUNTRY,0
7759978,IT,420,NO-COUNTRY,0
7786222,JP,4175,NO-COUNTRY,0
7822479,KE,2,NO-COUNTRY,0
7822909,KR,83,NO-COUNTRY,0
7823910,MU,1,NO-COUNTRY,0
7823936,MX,1,NO-COUNTRY,0
7824677,NL,181,NO-COUNTRY,0
7825642,NO,15,NO-COUNTRY,0
7825810,NZ,4,NO-COUNTRY,0
7825884,PL,6,NO-COUNTRY,0
7825921,SA,1,NO-COUNTRY,0
7826219,SE,183,NO-COUNTRY,0
7827026,SG,7,NO-COUNTRY,0
7827082,SI,1,NO-COUNTRY,0
7827190,SU,53,NO-COUNTRY,0
7827681,TW,46,NO-COUNTRY,0
7828923,UG,4,NO-COUNTRY,0
7865466,US,12627,NO-COUNTRY,0
7932014,VE,2,NO-COUNTRY,0
7932076,YU,20,NO-COUNTRY,0
7932142,ZA,21,NO-COUNTRY,0
