,COUNTRY,PATENT,CITING_COUNTRY,PATENT_COUNTRY_NUMBER
8375575,AR,25,NO-COUNTRY,0
8375807,AT,117,NO-COUNTRY,0
8376586,AU,190,NO-COUNTRY,0
8377839,BE,198,NO-COUNTRY,0
8378495,BR,15,NO-COUNTRY,0
8378577,BS,1,NO-COUNTRY,0
8380104,CA,581,NO-COUNTRY,0
8383674,CH,374,NO-COUNTRY,0
8385141,CN,27,NO-COUNTRY,0
8385229,CO,2,NO-COUNTRY,0
8385259,CS,1,NO-COUNTRY,0
8385269,CZ,5,NO-COUNTRY,0
8392310,DE,2075,NO-COUNTRY,0
8402797,DK,173,NO-COUNTRY,0
8403148,EG,5,NO-COUNTRY,0
8403278,ES,87,NO-COUNTRY,0
8403905,FI,139,NO-COUNTRY,0
8406700,FR,1251,NO-COUNTRY,0
8412531,GB,1002,NO-COUNTRY,0
8415674,GR,14,NO-COUNTRY,0
8415718,HK,6,NO-COUNTRY,0
8415831,HR,5,NO-COUNTRY,0
8415912,HU,261,NO-COUNTRY,0
8416279,IE,26,NO-COUNTRY,0
8416851,IL,249,NO-COUNTRY,0
8417549,IN,33,NO-COUNTRY,0
8417606,IS,1,NO-COUNTRY,0
8418487,IT,539,NO-COUNTRY,0
8446998,JP,3947,NO-COUNTRY,0
8486141,KR,179,NO-COUNTRY,0
8487836,LI,3,NO-COUNTRY,0
8487902,MC,1,NO-COUNTRY,0
8487924,MX,6,NO-COUNTRY,0
8488657,NL,166,NO-COUNTRY,0
8489706,NO,72,NO-COUNTRY,0
8489922,NZ,21,NO-COUNTRY,0
8490025,PL,2,NO-COUNTRY,0
8490068,RO,2,NO-COUNTRY,0
8490184,RU,96,NO-COUNTRY,0
8490493,SA,1,NO-COUNTRY,0
8491082,SE,304,NO-COUNTRY,0
8492156,SG,10,NO-COUNTRY,0
8492289,SI,11,NO-COUNTRY,0
8492332,SU,8,NO-COUNTRY,0
8492359,TH,1,NO-COUNTRY,0
8492920,TW,76,NO-COUNTRY,0
8495053,UA,1,NO-COUNTRY,0
8541719,US,18404,NO-COUNTRY,0
8622932,UY,1,NO-COUNTRY,0
8623007,YU,19,NO-COUNTRY,0
8623089,ZA,18,NO-COUNTRY,0
