,COUNTRY,PATENT,CITING_COUNTRY,PATENT_COUNTRY_NUMBER
5793643,AR,1,NO-COUNTRY,0
5793751,AT,4,NO-COUNTRY,0
5794215,AU,16,NO-COUNTRY,0
5794704,BE,14,NO-COUNTRY,0
5795032,BR,1,NO-COUNTRY,0
5795411,CA,104,NO-COUNTRY,0
5798204,CH,60,NO-COUNTRY,0
5804007,DE,389,NO-COUNTRY,0
5811964,DK,10,NO-COUNTRY,0
5812191,ES,2,NO-COUNTRY,0
5812324,FI,3,NO-COUNTRY,0
5813456,FR,315,NO-COUNTRY,0
5817280,GB,284,NO-COUNTRY,0
5820083,HK,3,NO-COUNTRY,0
5820340,HU,6,NO-COUNTRY,0
5820623,IL,5,NO-COUNTRY,0
5821300,IT,93,NO-COUNTRY,0
5827597,JP,1479,NO-COUNTRY,0
5840564,NL,97,NO-COUNTRY,0
5841344,NO,4,NO-COUNTRY,0
5841446,NZ,3,NO-COUNTRY,0
5841544,PL,1,NO-COUNTRY,0
5841938,SE,42,NO-COUNTRY,0
5843686,SU,109,NO-COUNTRY,0
5845526,TW,4,NO-COUNTRY,0
5859975,US,4329,NO-COUNTRY,0
5902856,ZA,1,NO-COUNTRY,0
