,COUNTRY,PATENT,CITING_COUNTRY,PATENT_COUNTRY_NUMBER
6487848,AR,5,NO-COUNTRY,0
6488280,AT,191,NO-COUNTRY,0
6488811,AU,177,NO-COUNTRY,0
6488988,BB,1,NO-COUNTRY,0
6489343,BE,103,NO-COUNTRY,0
6489518,BG,8,NO-COUNTRY,0
6489530,BN,2,NO-COUNTRY,0
6489560,BR,12,NO-COUNTRY,0
6490999,CA,626,NO-COUNTRY,0
6493171,CH,417,NO-COUNTRY,0
6493589,CL,1,NO-COUNTRY,0
6493600,CN,7,NO-COUNTRY,0
6493614,CO,1,NO-COUNTRY,0
6493670,CS,34,NO-COUNTRY,0
6505527,DE,2744,NO-COUNTRY,0
6508508,DK,70,NO-COUNTRY,0
6508578,DO,1,NO-COUNTRY,0
6508582,EG,1,NO-COUNTRY,0
6508692,ES,37,NO-COUNTRY,0
6509011,FI,79,NO-COUNTRY,0
6512769,FR,740,NO-COUNTRY,0
6516749,GB,746,NO-COUNTRY,0
6517514,GR,3,NO-COUNTRY,0
6517538,HK,19,NO-COUNTRY,0
6518211,HU,56,NO-COUNTRY,0
6518269,ID,2,NO-COUNTRY,0
6518295,IE,15,NO-COUNTRY,0
6518567,IL,51,NO-COUNTRY,0
6518682,IN,4,NO-COUNTRY,0
6518686,IS,3,NO-COUNTRY,0
6520038,IT,384,NO-COUNTRY,0
6548565,JP,4366,NO-COUNTRY,0
6552964,KR,33,NO-COUNTRY,0
6553000,KW,1,NO-COUNTRY,0
6553001,LB,1,NO-COUNTRY,0
6553031,LI,4,NO-COUNTRY,0
6553088,LU,17,NO-COUNTRY,0
6553156,MX,18,NO-COUNTRY,0
6553179,MY,4,NO-COUNTRY,0
6553188,NF,2,NO-COUNTRY,0
6554225,NL,198,NO-COUNTRY,0
6554490,NO,53,NO-COUNTRY,0
6554595,NZ,23,NO-COUNTRY,0
6554619,PH,1,NO-COUNTRY,0
6554673,PT,1,NO-COUNTRY,0
6554685,SA,3,NO-COUNTRY,0
6555651,SE,368,NO-COUNTRY,0
6556019,SG,3,NO-COUNTRY,0
6556600,SU,106,NO-COUNTRY,0
6556711,TH,2,NO-COUNTRY,0
6556846,TW,113,NO-COUNTRY,0
6604253,US,14173,NO-COUNTRY,0
6618481,VE,8,NO-COUNTRY,0
6618489,VG,1,NO-COUNTRY,0
6618494,YU,4,NO-COUNTRY,0
6618579,ZA,38,NO-COUNTRY,0
6618617,ZW,1,NO-COUNTRY,0
