,COUNTRY,PATENT,CITING_COUNTRY,PATENT_COUNTRY_NUMBER
8152730,AR,14,NO-COUNTRY,0
8152934,AT,69,NO-COUNTRY,0
8153627,AU,203,NO-COUNTRY,0
8154732,BE,129,NO-COUNTRY,0
8155176,BM,1,NO-COUNTRY,0
8155208,BR,10,NO-COUNTRY,0
8156443,CA,455,NO-COUNTRY,0
8159958,CH,363,NO-COUNTRY,0
8161338,CN,25,NO-COUNTRY,0
8161465,CS,6,NO-COUNTRY,0
8168143,DE,2031,NO-COUNTRY,0
8178234,DK,152,NO-COUNTRY,0
8178601,ES,81,NO-COUNTRY,0
8179123,FI,73,NO-COUNTRY,0
8181832,FR,1112,NO-COUNTRY,0
8187521,GB,875,NO-COUNTRY,0
8190594,GE,4,NO-COUNTRY,0
8190600,GR,3,NO-COUNTRY,0
8190619,HK,15,NO-COUNTRY,0
8190724,HR,15,NO-COUNTRY,0
8190893,HU,188,NO-COUNTRY,0
8191161,IE,5,NO-COUNTRY,0
8191520,IL,145,NO-COUNTRY,0
8192042,IN,54,NO-COUNTRY,0
8192112,IR,2,NO-COUNTRY,0
8192115,IS,1,NO-COUNTRY,0
8192902,IT,424,NO-COUNTRY,0
8219722,JP,3940,NO-COUNTRY,0
8255295,KR,121,NO-COUNTRY,0
8256596,LI,4,NO-COUNTRY,0
8256616,LT,2,NO-COUNTRY,0
8256691,MU,1,NO-COUNTRY,0
8256708,MX,15,NO-COUNTRY,0
8257399,NL,199,NO-COUNTRY,0
8258466,NO,50,NO-COUNTRY,0
8258656,NZ,17,NO-COUNTRY,0
8258728,PH,5,NO-COUNTRY,0
8258761,PL,7,NO-COUNTRY,0
8258781,RO,1,NO-COUNTRY,0
8258939,RU,28,NO-COUNTRY,0
8259137,SA,1,NO-COUNTRY,0
8259573,SE,328,NO-COUNTRY,0
8260648,SG,11,NO-COUNTRY,0
8260746,SI,3,NO-COUNTRY,0
8260782,SU,10,NO-COUNTRY,0
8260805,TH,1,NO-COUNTRY,0
8261294,TW,81,NO-COUNTRY,0
8302336,US,15093,NO-COUNTRY,0
8375314,VE,2,NO-COUNTRY,0
8375349,YU,5,NO-COUNTRY,0
8375407,ZA,20,NO-COUNTRY,0
