,COUNTRY,PATENT,CITING_COUNTRY,PATENT_COUNTRY_NUMBER
5708432,AG,1,NO-COUNTRY,0
5708443,AR,4,NO-COUNTRY,0
5708583,AT,38,NO-COUNTRY,0
5708949,AU,28,NO-COUNTRY,0
5709362,BE,31,NO-COUNTRY,0
5709508,BG,3,NO-COUNTRY,0
5709561,BS,5,NO-COUNTRY,0
5710011,CA,154,NO-COUNTRY,0
5711663,CH,173,NO-COUNTRY,0
5712444,CN,1,NO-COUNTRY,0
5712512,CS,14,NO-COUNTRY,0
5717226,DE,1220,NO-COUNTRY,0
5722291,DK,31,NO-COUNTRY,0
5722464,ES,3,NO-COUNTRY,0
5722551,FI,13,NO-COUNTRY,0
5723990,FR,436,NO-COUNTRY,0
5726868,GB,477,NO-COUNTRY,0
5728574,GR,2,NO-COUNTRY,0
5728579,HK,4,NO-COUNTRY,0
5728781,HU,33,NO-COUNTRY,0
5728889,IE,3,NO-COUNTRY,0
5728971,IL,27,NO-COUNTRY,0
5729639,IT,76,NO-COUNTRY,0
5735914,JP,2088,NO-COUNTRY,0
5743207,LI,1,NO-COUNTRY,0
5743221,LU,1,NO-COUNTRY,0
5743261,MX,6,NO-COUNTRY,0
5743675,NL,209,NO-COUNTRY,0
5744194,NO,12,NO-COUNTRY,0
5744273,NZ,4,NO-COUNTRY,0
5744383,PL,4,NO-COUNTRY,0
5744741,SE,122,NO-COUNTRY,0
5746147,SU,313,NO-COUNTRY,0
5747397,TR,1,NO-COUNTRY,0
5747414,TW,8,NO-COUNTRY,0
5765601,US,7252,NO-COUNTRY,0
5793531,VE,1,NO-COUNTRY,0
5793548,YU,1,NO-COUNTRY,0
5793587,ZA,5,NO-COUNTRY,0
