,COUNTRY,PATENT,CITING_COUNTRY,PATENT_COUNTRY_NUMBER
6927680,AR,5,NO-COUNTRY,0
6928027,AT,257,NO-COUNTRY,0
6928975,AU,176,NO-COUNTRY,0
6929852,BE,93,NO-COUNTRY,0
6930164,BG,10,NO-COUNTRY,0
6930224,BR,11,NO-COUNTRY,0
6931913,CA,650,NO-COUNTRY,0
6933459,CC,1,NO-COUNTRY,0
6934934,CH,453,NO-COUNTRY,0
6935814,CL,6,NO-COUNTRY,0
6935902,CN,23,NO-COUNTRY,0
6936000,CS,13,NO-COUNTRY,0
6936045,CY,1,NO-COUNTRY,0
6947647,DE,4469,NO-COUNTRY,0
6954992,DK,70,NO-COUNTRY,0
6955141,DO,1,NO-COUNTRY,0
6955148,EG,1,NO-COUNTRY,0
6955258,ES,48,NO-COUNTRY,0
6955562,FI,117,NO-COUNTRY,0
6959718,FR,1184,NO-COUNTRY,0
6965396,GB,1071,NO-COUNTRY,0
6967346,GR,3,NO-COUNTRY,0
6967375,HK,6,NO-COUNTRY,0
6967407,HN,1,NO-COUNTRY,0
6968075,HU,77,NO-COUNTRY,0
6968330,IE,8,NO-COUNTRY,0
6968824,IL,64,NO-COUNTRY,0
6969028,IN,4,NO-COUNTRY,0
6969040,IS,1,NO-COUNTRY,0
6970559,IT,481,NO-COUNTRY,0
7006167,JP,13285,NO-COUNTRY,0
7025545,KR,38,NO-COUNTRY,0
7025635,LI,12,NO-COUNTRY,0
7025658,LU,46,NO-COUNTRY,0
7025712,MA,1,NO-COUNTRY,0
7025717,MC,4,NO-COUNTRY,0
7025744,MX,19,NO-COUNTRY,0
7027070,NL,262,NO-COUNTRY,0
7027711,NO,40,NO-COUNTRY,0
7027866,NZ,8,NO-COUNTRY,0
7027922,PH,2,NO-COUNTRY,0
7027979,PL,9,NO-COUNTRY,0
7028015,PT,6,NO-COUNTRY,0
7028029,SA,4,NO-COUNTRY,0
7028742,SE,349,NO-COUNTRY,0
7029413,SG,4,NO-COUNTRY,0
7029931,SU,268,NO-COUNTRY,0
7030545,TW,184,NO-COUNTRY,0
7082556,US,16139,NO-COUNTRY,0
7117929,UY,1,NO-COUNTRY,0
7117992,VE,3,NO-COUNTRY,0
7118020,YU,3,NO-COUNTRY,0
7118082,ZA,59,NO-COUNTRY,0
