,COUNTRY,PATENT,CITING_COUNTRY,PATENT_COUNTRY_NUMBER
5033709,AR,6,NO-COUNTRY,0
5034013,AT,209,NO-COUNTRY,0
5034410,AU,114,JP,2
5034524,AU,114,NO-COUNTRY,0
5035387,BE,73,NO-COUNTRY,0
5035588,BG,57,NO-COUNTRY,0
5035658,BO,1,NO-COUNTRY,0
5035675,BR,2,NO-COUNTRY,0
5037788,CA,403,NO-COUNTRY,0
5038191,CA,403,US,2
5041913,CH,363,NO-COUNTRY,0
5043485,CI,1,NO-COUNTRY,0
5043492,CL,5,NO-COUNTRY,0
5043498,CO,1,NO-COUNTRY,0
5043500,CR,2,NO-COUNTRY,0
5043680,CS,29,NO-COUNTRY,0
5073320,DE,2673,CA,4
5075993,DE,2673,GB,1
5078666,DE,2673,JP,7
5081339,DE,2673,NO-COUNTRY,0
5084012,DE,2673,SE,1
5086685,DE,2673,US,2
5094329,DK,48,NO-COUNTRY,0
5094511,ES,40,NO-COUNTRY,0
5094650,FI,71,NO-COUNTRY,0
5100247,FR,765,DE,1
5101012,FR,765,NO-COUNTRY,0
5112880,GB,967,BE,1
5113847,GB,967,CH,2
5114814,GB,967,NO-COUNTRY,0
5115781,GB,967,US,2
5117475,GR,8,NO-COUNTRY,0
5117496,HK,5,NO-COUNTRY,0
5117812,HU,15,NO-COUNTRY,0
5117868,IE,5,NO-COUNTRY,0
5117963,IL,32,NO-COUNTRY,0
5118060,IN,3,NO-COUNTRY,0
5119496,IT,262,JP,1
5119758,IT,262,NO-COUNTRY,0
5176761,JP,3820,CH,3
5180581,JP,3820,DE,1
5184401,JP,3820,FR,3
5188221,JP,3820,NO-COUNTRY,0
5192041,JP,3820,US,11
5199495,KR,2,NO-COUNTRY,0
5199512,LI,2,NO-COUNTRY,0
5199527,LU,12,NO-COUNTRY,0
5199549,MA,1,NO-COUNTRY,0
5199553,MC,1,NO-COUNTRY,0
5199581,MX,9,NO-COUNTRY,0
5200773,NL,166,DE,1
5200939,NL,166,NO-COUNTRY,0
5201591,NO,37,NO-COUNTRY,0
5201674,NZ,15,NO-COUNTRY,0
5201716,PE,3,NO-COUNTRY,0
5201719,PG,2,NO-COUNTRY,0
5201725,PH,3,NO-COUNTRY,0
5201772,PL,22,NO-COUNTRY,0
5201832,RO,7,NO-COUNTRY,0
5202502,SE,440,NO-COUNTRY,0
5202942,SE,440,US,2
5205436,SU,699,NO-COUNTRY,0
5206447,TN,1,NO-COUNTRY,0
5206480,TW,20,NO-COUNTRY,0
5381674,US,14208,CA,1
5395882,US,14208,CH,1
5410090,US,14208,DE,5
5424298,US,14208,ES,1
5438506,US,14208,FR,4
5452714,US,14208,GB,1
5466922,US,14208,IT,5
5481130,US,14208,JP,4
5495338,US,14208,NO-COUNTRY,0
5594432,YU,2,NO-COUNTRY,0
5594472,ZA,24,NO-COUNTRY,0
