,COUNTRY,PATENT,CITING_COUNTRY,PATENT_COUNTRY_NUMBER
9252020,AD,2,NO-COUNTRY,0
9252028,AL,1,NO-COUNTRY,0
9252029,AM,1,NO-COUNTRY,0
9252076,AR,8,NO-COUNTRY,0
9252648,AT,299,NO-COUNTRY,0
9253972,AU,212,NO-COUNTRY,0
9255748,BE,135,NO-COUNTRY,0
9256070,BG,1,NO-COUNTRY,0
9256124,BR,42,NO-COUNTRY,0
9260543,CA,1126,NO-COUNTRY,0
9264681,CH,437,NO-COUNTRY,0
9265651,CL,6,NO-COUNTRY,0
9265834,CN,25,NO-COUNTRY,0
9265912,CR,5,NO-COUNTRY,0
9265925,CS,4,NO-COUNTRY,0
9265983,CZ,11,NO-COUNTRY,0
9281347,DE,5245,NO-COUNTRY,0
9291080,DK,75,NO-COUNTRY,0
9291326,EE,1,NO-COUNTRY,0
9291651,ES,82,NO-COUNTRY,0
9292937,FI,207,NO-COUNTRY,0
9299683,FR,1043,NO-COUNTRY,0
9307690,GB,880,NO-COUNTRY,0
9309607,GR,3,NO-COUNTRY,0
9309766,HK,40,NO-COUNTRY,0
9309908,HR,5,NO-COUNTRY,0
9310071,HU,10,NO-COUNTRY,0
9310252,IE,23,NO-COUNTRY,0
9311686,IL,143,NO-COUNTRY,0
9312328,IN,28,NO-COUNTRY,0
9312390,IS,8,NO-COUNTRY,0
9314484,IT,565,NO-COUNTRY,0
9315498,JO,1,NO-COUNTRY,0
9374217,JP,17360,NO-COUNTRY,0
9405457,KR,740,NO-COUNTRY,0
9406769,KW,2,NO-COUNTRY,0
9406812,LI,11,NO-COUNTRY,0
9406840,LU,21,NO-COUNTRY,0
9406880,LV,1,NO-COUNTRY,0
9406914,MC,2,NO-COUNTRY,0
9407017,MX,46,NO-COUNTRY,0
9407135,MY,18,NO-COUNTRY,0
9407168,NI,1,NO-COUNTRY,0
9409217,NL,295,NO-COUNTRY,0
9410143,NO,97,NO-COUNTRY,0
9410492,NZ,36,NO-COUNTRY,0
9410574,PA,1,NO-COUNTRY,0
9410592,PH,4,NO-COUNTRY,0
9411204,RU,66,NO-COUNTRY,0
9411330,SA,3,NO-COUNTRY,0
9413244,SE,437,NO-COUNTRY,0
9414326,SG,28,NO-COUNTRY,0
9414386,SI,4,NO-COUNTRY,0
9414398,SK,2,NO-COUNTRY,0
9418337,TW,822,NO-COUNTRY,0
9420329,UA,19,NO-COUNTRY,0
9549655,US,24968,NO-COUNTRY,0
9604393,UY,1,NO-COUNTRY,0
9604394,UZ,5,NO-COUNTRY,0
9604475,VE,8,NO-COUNTRY,0
9604611,ZA,42,NO-COUNTRY,0
