,COUNTRY,PATENT,CITING_COUNTRY,PATENT_COUNTRY_NUMBER
8375549,AG,1,NO-COUNTRY,0
8375600,AR,1,NO-COUNTRY,0
8375924,AT,48,NO-COUNTRY,0
8376776,AU,71,NO-COUNTRY,0
8378037,BE,105,NO-COUNTRY,0
8378510,BR,15,NO-COUNTRY,0
8378582,BY,6,NO-COUNTRY,0
8380685,CA,575,NO-COUNTRY,0
8384048,CH,305,NO-COUNTRY,0
8385168,CN,30,NO-COUNTRY,0
8385231,CO,2,NO-COUNTRY,0
8385260,CS,1,NO-COUNTRY,0
8394385,DE,2258,NO-COUNTRY,0
8402970,DK,22,NO-COUNTRY,0
8403153,EG,2,NO-COUNTRY,0
8403365,ES,30,NO-COUNTRY,0
8404044,FI,107,NO-COUNTRY,0
8407951,FR,1044,NO-COUNTRY,0
8413533,GB,666,NO-COUNTRY,0
8415688,GR,2,NO-COUNTRY,0
8415724,HK,25,NO-COUNTRY,0
8416173,HU,4,NO-COUNTRY,0
8416305,IE,16,NO-COUNTRY,0
8417100,IL,176,NO-COUNTRY,0
8417582,IN,6,NO-COUNTRY,0
8419026,IT,338,NO-COUNTRY,0
8450945,JP,14161,NO-COUNTRY,0
8484983,KG,2,NO-COUNTRY,0
8486320,KR,878,NO-COUNTRY,0
8487827,KY,3,NO-COUNTRY,0
8487903,MC,1,NO-COUNTRY,0
8487930,MX,6,NO-COUNTRY,0
8488823,NL,397,NO-COUNTRY,0
8489778,NO,35,NO-COUNTRY,0
8489943,NZ,11,NO-COUNTRY,0
8490000,PH,2,NO-COUNTRY,0
8490027,PL,7,NO-COUNTRY,0
8490062,PT,3,NO-COUNTRY,0
8490280,RU,62,NO-COUNTRY,0
8491386,SE,193,NO-COUNTRY,0
8492166,SG,68,NO-COUNTRY,0
8492300,SI,2,NO-COUNTRY,0
8492340,SU,5,NO-COUNTRY,0
8492360,TH,5,NO-COUNTRY,0
8492380,TR,3,NO-COUNTRY,0
8492996,TW,855,NO-COUNTRY,0
8495054,UA,2,NO-COUNTRY,0
8560123,US,20610,NO-COUNTRY,0
8622933,UY,2,NO-COUNTRY,0
8622979,VE,7,NO-COUNTRY,0
8623107,ZA,20,NO-COUNTRY,0
