,COUNTRY,PATENT,CITING_COUNTRY,PATENT_COUNTRY_NUMBER
8893385,AR,50,NO-COUNTRY,0
8893702,AT,171,NO-COUNTRY,0
8894663,AU,398,NO-COUNTRY,0
8896483,BE,356,NO-COUNTRY,0
8897462,BR,19,NO-COUNTRY,0
8897562,BS,16,NO-COUNTRY,0
8899585,CA,1024,NO-COUNTRY,0
8904354,CH,515,NO-COUNTRY,0
8906133,CL,16,NO-COUNTRY,0
8906273,CN,35,NO-COUNTRY,0
8906359,CO,2,NO-COUNTRY,0
8906370,CS,4,NO-COUNTRY,0
8906393,CU,18,NO-COUNTRY,0
8915265,DE,3014,NO-COUNTRY,0
8929947,DK,564,NO-COUNTRY,0
8930800,DZ,5,NO-COUNTRY,0
8930997,ES,177,NO-COUNTRY,0
8931913,FI,184,NO-COUNTRY,0
8935497,FR,1877,NO-COUNTRY,0
8943524,GB,1782,NO-COUNTRY,0
8948146,GR,5,NO-COUNTRY,0
8948159,GT,2,NO-COUNTRY,0
8948230,HK,4,NO-COUNTRY,0
8948417,HR,17,NO-COUNTRY,0
8948503,HU,159,NO-COUNTRY,0
8948777,IE,31,NO-COUNTRY,0
8949542,IL,408,NO-COUNTRY,0
8950709,IN,90,NO-COUNTRY,0
8950854,IS,1,NO-COUNTRY,0
8951993,IT,599,NO-COUNTRY,0
8954177,JO,3,NO-COUNTRY,0
9010103,JP,5595,NO-COUNTRY,0
9062367,KR,287,NO-COUNTRY,0
9065711,KY,1,NO-COUNTRY,0
9065735,LI,3,NO-COUNTRY,0
9065824,LV,4,NO-COUNTRY,0
9065831,MC,9,NO-COUNTRY,0
9065872,MX,26,NO-COUNTRY,0
9066001,NG,12,NO-COUNTRY,0
9067060,NL,519,NO-COUNTRY,0
9068899,NO,76,NO-COUNTRY,0
9069257,NZ,24,NO-COUNTRY,0
9069422,PH,1,NO-COUNTRY,0
9069428,PK,1,NO-COUNTRY,0
9069443,PL,13,NO-COUNTRY,0
9069477,PT,7,NO-COUNTRY,0
9069783,RU,139,NO-COUNTRY,0
9070219,SA,1,NO-COUNTRY,0
9070970,SE,530,NO-COUNTRY,0
9072525,SG,25,NO-COUNTRY,0
9072722,SI,30,NO-COUNTRY,0
9072795,SU,2,NO-COUNTRY,0
9072803,TH,8,NO-COUNTRY,0
9073902,TW,146,NO-COUNTRY,0
9077480,UA,8,NO-COUNTRY,0
9143106,US,30644,NO-COUNTRY,0
9251711,UY,3,NO-COUNTRY,0
9251789,VE,2,NO-COUNTRY,0
9251804,YU,1,NO-COUNTRY,0
9251878,ZA,31,NO-COUNTRY,0
