,COUNTRY,PATENT,CITING_COUNTRY,PATENT_COUNTRY_NUMBER
6775606,AR,3,NO-COUNTRY,0
6775886,AT,212,NO-COUNTRY,0
6776515,AU,158,NO-COUNTRY,0
6777313,BE,82,NO-COUNTRY,0
6777539,BG,22,NO-COUNTRY,0
6777614,BR,16,NO-COUNTRY,0
6777645,BS,1,NO-COUNTRY,0
6778821,CA,555,NO-COUNTRY,0
6781197,CH,456,NO-COUNTRY,0
6782052,CL,4,NO-COUNTRY,0
6782126,CN,34,NO-COUNTRY,0
6782171,CO,1,NO-COUNTRY,0
6782176,CR,1,NO-COUNTRY,0
6782247,CS,29,NO-COUNTRY,0
6792101,DE,3971,NO-COUNTRY,0
6798599,DK,69,NO-COUNTRY,0
6798830,ES,52,NO-COUNTRY,0
6799113,FI,142,NO-COUNTRY,0
6802761,FR,998,NO-COUNTRY,0
6807399,GB,851,NO-COUNTRY,0
6808985,GR,2,NO-COUNTRY,0
6809011,HK,9,NO-COUNTRY,0
6809497,HU,34,NO-COUNTRY,0
6809610,IE,9,NO-COUNTRY,0
6809904,IL,78,NO-COUNTRY,0
6810105,IN,3,NO-COUNTRY,0
6811233,IT,453,NO-COUNTRY,0
6838028,JP,11193,NO-COUNTRY,0
6854228,KR,26,NO-COUNTRY,0
6854288,LI,9,NO-COUNTRY,0
6854313,LU,69,NO-COUNTRY,0
6854398,MC,1,NO-COUNTRY,0
6854423,MX,31,NO-COUNTRY,0
6854475,MY,1,NO-COUNTRY,0
6855442,NL,221,NO-COUNTRY,0
6855950,NO,40,NO-COUNTRY,0
6856082,NZ,21,NO-COUNTRY,0
6856134,PA,2,NO-COUNTRY,0
6856136,PE,1,NO-COUNTRY,0
6856138,PH,2,NO-COUNTRY,0
6856176,PT,1,NO-COUNTRY,0
6856751,SE,376,NO-COUNTRY,0
6857437,SG,7,NO-COUNTRY,0
6857698,SU,151,NO-COUNTRY,0
6858093,TW,128,NO-COUNTRY,0
6898968,US,13399,NO-COUNTRY,0
6927461,VE,4,NO-COUNTRY,0
6927500,YU,8,NO-COUNTRY,0
6927583,ZA,51,NO-COUNTRY,0
6927667,ZW,2,NO-COUNTRY,0
