,COUNTRY,PATENT,CITING_COUNTRY,PATENT_COUNTRY_NUMBER
8152707,AD,2,NO-COUNTRY,0
8152718,AN,1,NO-COUNTRY,0
8152756,AR,9,NO-COUNTRY,0
8153276,AT,128,NO-COUNTRY,0
8154054,AU,183,NO-COUNTRY,0
8155024,BE,147,NO-COUNTRY,0
8155259,BR,37,NO-COUNTRY,0
8155302,BS,1,NO-COUNTRY,0
8155311,BY,8,NO-COUNTRY,0
8158222,CA,1038,NO-COUNTRY,0
8160880,CH,378,NO-COUNTRY,0
8161276,CL,1,NO-COUNTRY,0
8161424,CN,10,NO-COUNTRY,0
8161437,CO,1,NO-COUNTRY,0
8161440,CR,1,NO-COUNTRY,0
8161474,CS,10,NO-COUNTRY,0
8161487,CZ,1,NO-COUNTRY,0
8175949,DE,2201,NO-COUNTRY,0
8178451,DK,66,NO-COUNTRY,0
8178523,EG,1,NO-COUNTRY,0
8178756,ES,40,NO-COUNTRY,0
8179418,FI,68,NO-COUNTRY,0
8184925,FR,733,NO-COUNTRY,0
8189885,GB,709,NO-COUNTRY,0
8190604,GR,2,NO-COUNTRY,0
8190679,HK,37,NO-COUNTRY,0
8190716,HN,5,NO-COUNTRY,0
8191110,HU,7,NO-COUNTRY,0
8191120,ID,1,NO-COUNTRY,0
8191202,IE,14,NO-COUNTRY,0
8191869,IL,115,NO-COUNTRY,0
8192109,IN,3,NO-COUNTRY,0
8192117,IS,1,NO-COUNTRY,0
8193966,IT,402,NO-COUNTRY,0
8194369,JM,1,NO-COUNTRY,0
8248464,JP,6007,NO-COUNTRY,0
8256367,KR,206,NO-COUNTRY,0
8256608,LI,7,NO-COUNTRY,0
8256669,LU,15,NO-COUNTRY,0
8256689,MO,1,NO-COUNTRY,0
8256750,MX,15,NO-COUNTRY,0
8256770,MY,6,NO-COUNTRY,0
8258147,NL,242,NO-COUNTRY,0
8258582,NO,64,NO-COUNTRY,0
8258696,NZ,21,NO-COUNTRY,0
8258720,PE,2,NO-COUNTRY,0
8258733,PH,3,NO-COUNTRY,0
8258779,PT,1,NO-COUNTRY,0
8259105,RU,28,NO-COUNTRY,0
8259146,SA,6,NO-COUNTRY,0
8260376,SE,232,NO-COUNTRY,0
8260723,SG,13,NO-COUNTRY,0
8260800,SV,1,NO-COUNTRY,0
8260807,TH,4,NO-COUNTRY,0
8260815,TR,2,NO-COUNTRY,0
8262518,TW,594,NO-COUNTRY,0
8263134,UA,1,NO-COUNTRY,0
8354597,US,20667,NO-COUNTRY,0
8375266,UY,1,NO-COUNTRY,0
8375267,UZ,2,NO-COUNTRY,0
8375336,VE,9,NO-COUNTRY,0
8375500,ZA,46,NO-COUNTRY,0
