,COUNTRY,PATENT,CITING_COUNTRY,PATENT_COUNTRY_NUMBER
6487833,AR,4,NO-COUNTRY,0
6487853,AT,69,NO-COUNTRY,0
6488471,AU,103,NO-COUNTRY,0
6488989,BE,172,NO-COUNTRY,0
6489446,BG,20,NO-COUNTRY,0
6489526,BM,2,NO-COUNTRY,0
6489532,BR,10,NO-COUNTRY,0
6489572,CA,387,NO-COUNTRY,0
6491625,CH,606,NO-COUNTRY,0
6493590,CN,1,NO-COUNTRY,0
6493615,CS,30,NO-COUNTRY,0
6493705,CY,1,NO-COUNTRY,0
6493707,DE,4264,NO-COUNTRY,0
6508271,DK,41,NO-COUNTRY,0
6508583,ES,35,NO-COUNTRY,0
6508729,FI,113,NO-COUNTRY,0
6509090,FR,964,NO-COUNTRY,0
6513509,GB,828,NO-COUNTRY,0
6517495,GR,14,NO-COUNTRY,0
6517517,HK,5,NO-COUNTRY,0
6517557,HU,199,NO-COUNTRY,0
6518271,IE,8,NO-COUNTRY,0
6518310,IL,73,NO-COUNTRY,0
6518618,IN,33,NO-COUNTRY,0
6518689,IT,405,NO-COUNTRY,0
6520423,JP,7572,NO-COUNTRY,0
6552931,KR,12,NO-COUNTRY,0
6552997,KW,2,NO-COUNTRY,0
6553002,LI,16,NO-COUNTRY,0
6553035,LU,1,NO-COUNTRY,0
6553105,MC,3,NO-COUNTRY,0
6553110,MX,8,NO-COUNTRY,0
6553183,NF,4,NO-COUNTRY,0
6553190,NL,308,NO-COUNTRY,0
6554423,NO,16,NO-COUNTRY,0
6554543,NZ,14,NO-COUNTRY,0
6554621,PL,21,NO-COUNTRY,0
6554672,PT,1,NO-COUNTRY,0
6554681,SA,2,NO-COUNTRY,0
6554688,SE,216,NO-COUNTRY,0
6556022,SU,163,NO-COUNTRY,0
6556710,TH,1,NO-COUNTRY,0
6556713,TR,2,NO-COUNTRY,0
6556726,TW,13,NO-COUNTRY,0
6556959,US,13219,NO-COUNTRY,0
6618426,VE,51,NO-COUNTRY,0
6618490,YU,4,NO-COUNTRY,0
6618498,ZA,27,NO-COUNTRY,0
