,COUNTRY,PATENT,CITING_COUNTRY,PATENT_COUNTRY_NUMBER
6122885,AR,1,NO-COUNTRY,0
6123029,AT,51,NO-COUNTRY,0
6123477,AU,31,NO-COUNTRY,0
6123892,BE,47,NO-COUNTRY,0
6124061,BG,13,NO-COUNTRY,0
6124657,CA,241,NO-COUNTRY,0
6126498,CH,175,NO-COUNTRY,0
6127287,CO,1,NO-COUNTRY,0
6127327,CS,2,NO-COUNTRY,0
6133120,DE,1603,NO-COUNTRY,0
6139361,DK,19,NO-COUNTRY,0
6139507,ES,9,NO-COUNTRY,0
6139631,FI,27,NO-COUNTRY,0
6141394,FR,599,NO-COUNTRY,0
6144713,GB,469,NO-COUNTRY,0
6146466,GR,2,NO-COUNTRY,0
6146475,HK,1,NO-COUNTRY,0
6146857,HU,33,NO-COUNTRY,0
6147003,IE,7,NO-COUNTRY,0
6147111,IL,39,NO-COUNTRY,0
6147805,IT,94,NO-COUNTRY,0
6158081,JP,3949,NO-COUNTRY,0
6170416,KR,1,NO-COUNTRY,0
6170456,LR,1,NO-COUNTRY,0
6170464,LU,5,NO-COUNTRY,0
6170517,MC,4,NO-COUNTRY,0
6170544,MX,2,NO-COUNTRY,0
6171054,NL,251,NO-COUNTRY,0
6171698,NO,8,NO-COUNTRY,0
6171765,NZ,2,NO-COUNTRY,0
6171846,PL,5,NO-COUNTRY,0
6171893,RO,7,NO-COUNTRY,0
6172161,SE,127,NO-COUNTRY,0
6173267,SU,285,NO-COUNTRY,0
6174192,TH,2,NO-COUNTRY,0
6174209,TW,8,NO-COUNTRY,0
6195159,US,8281,NO-COUNTRY,0
6225429,YU,3,NO-COUNTRY,0
6225468,ZA,7,NO-COUNTRY,0
