,COUNTRY,PATENT,CITING_COUNTRY,PATENT_COUNTRY_NUMBER
6347745,AR,3,NO-COUNTRY,0
6347846,AT,15,NO-COUNTRY,0
6348426,AU,39,NO-COUNTRY,0
6349030,BE,66,NO-COUNTRY,0
6349308,BG,2,NO-COUNTRY,0
6349376,BR,4,NO-COUNTRY,0
6350066,CA,138,NO-COUNTRY,0
6352294,CH,186,NO-COUNTRY,0
6353591,CO,2,NO-COUNTRY,0
6353684,CS,7,NO-COUNTRY,0
6353808,CU,2,NO-COUNTRY,0
6359016,DE,1224,NO-COUNTRY,0
6368263,DK,33,NO-COUNTRY,0
6368516,ES,18,NO-COUNTRY,0
6368717,FI,22,NO-COUNTRY,0
6370517,FR,488,NO-COUNTRY,0
6374800,GB,513,NO-COUNTRY,0
6377702,GT,1,NO-COUNTRY,0
6378001,HU,165,NO-COUNTRY,0
6378316,IE,1,NO-COUNTRY,0
6378416,IL,42,NO-COUNTRY,0
6378643,IN,3,NO-COUNTRY,0
6379242,IT,266,NO-COUNTRY,0
6392109,JP,1832,NO-COUNTRY,0
6420095,KR,3,NO-COUNTRY,0
6420237,MC,1,NO-COUNTRY,0
6420252,MX,3,NO-COUNTRY,0
6420737,NL,60,NO-COUNTRY,0
6421581,NO,10,NO-COUNTRY,0
6421683,NZ,9,NO-COUNTRY,0
6421731,PH,1,NO-COUNTRY,0
6421753,PL,5,NO-COUNTRY,0
6422080,SE,86,NO-COUNTRY,0
6423321,SU,110,NO-COUNTRY,0
6424075,TW,5,NO-COUNTRY,0
6444623,US,4605,NO-COUNTRY,0
6487672,YU,2,NO-COUNTRY,0
6487730,ZA,8,NO-COUNTRY,0
