,COUNTRY,PATENT,CITING_COUNTRY,PATENT_COUNTRY_NUMBER
9252544,AT,104,NO-COUNTRY,0
9253886,AU,86,NO-COUNTRY,0
9255623,BE,125,NO-COUNTRY,0
9256118,BR,6,NO-COUNTRY,0
9256236,BS,2,NO-COUNTRY,0
9256245,BY,8,NO-COUNTRY,0
9259840,CA,703,NO-COUNTRY,0
9264328,CH,353,NO-COUNTRY,0
9265805,CN,29,NO-COUNTRY,0
9265924,CS,1,NO-COUNTRY,0
9265977,CZ,6,NO-COUNTRY,0
9277840,DE,3507,NO-COUNTRY,0
9291011,DK,69,NO-COUNTRY,0
9291633,ES,18,NO-COUNTRY,0
9292818,FI,119,NO-COUNTRY,0
9298360,FR,1323,NO-COUNTRY,0
9306851,GB,839,NO-COUNTRY,0
9309601,GR,6,NO-COUNTRY,0
9309690,HK,76,NO-COUNTRY,0
9310037,HU,34,NO-COUNTRY,0
9310097,ID,4,NO-COUNTRY,0
9310204,IE,48,NO-COUNTRY,0
9311458,IL,228,NO-COUNTRY,0
9312314,IN,14,NO-COUNTRY,0
9314002,IT,482,NO-COUNTRY,0
9355421,JP,18796,NO-COUNTRY,0
9403337,KR,2120,NO-COUNTRY,0
9406768,KW,1,NO-COUNTRY,0
9406810,LI,2,NO-COUNTRY,0
9406839,LU,1,NO-COUNTRY,0
9406925,MH,1,NO-COUNTRY,0
9406926,MU,1,NO-COUNTRY,0
9406998,MX,19,NO-COUNTRY,0
9407112,MY,23,NO-COUNTRY,0
9408700,NL,517,NO-COUNTRY,0
9410107,NO,36,NO-COUNTRY,0
9410470,NZ,22,NO-COUNTRY,0
9410585,PH,7,NO-COUNTRY,0
9410637,PL,6,NO-COUNTRY,0
9410674,RO,4,NO-COUNTRY,0
9411077,RU,127,NO-COUNTRY,0
9411326,SA,4,NO-COUNTRY,0
9412834,SE,410,NO-COUNTRY,0
9414187,SG,139,NO-COUNTRY,0
9414384,SI,2,NO-COUNTRY,0
9414397,SK,1,NO-COUNTRY,0
9414441,TH,5,NO-COUNTRY,0
9414456,TR,4,NO-COUNTRY,0
9415912,TW,2425,NO-COUNTRY,0
9420313,UA,16,NO-COUNTRY,0
9521558,US,28097,NO-COUNTRY,0
9604474,VE,1,NO-COUNTRY,0
9604500,VG,1,NO-COUNTRY,0
9604503,VN,1,NO-COUNTRY,0
9604595,ZA,16,NO-COUNTRY,0
