,COUNTRY,PATENT,CITING_COUNTRY,PATENT_COUNTRY_NUMBER
5594538,AR,13,NO-COUNTRY,0
5594945,AT,96,NO-COUNTRY,0
5595298,AU,128,NO-COUNTRY,0
5595842,BE,68,NO-COUNTRY,0
5596047,BG,11,NO-COUNTRY,0
5596058,BO,1,NO-COUNTRY,0
5596076,BR,16,NO-COUNTRY,0
5596105,BS,2,NO-COUNTRY,0
5597387,CA,514,NO-COUNTRY,0
5599562,CH,433,NO-COUNTRY,0
5600001,CL,2,NO-COUNTRY,0
5600009,CO,2,NO-COUNTRY,0
5600216,CS,91,NO-COUNTRY,0
5610702,DE,1858,NO-COUNTRY,0
5612741,DK,60,NO-COUNTRY,0
5612882,ES,29,NO-COUNTRY,0
5613081,FI,21,NO-COUNTRY,0
5616197,FR,556,NO-COUNTRY,0
5620507,GB,766,NO-COUNTRY,0
5621278,GR,1,NO-COUNTRY,0
5621293,HK,11,NO-COUNTRY,0
5621304,HN,1,NO-COUNTRY,0
5621614,HU,12,NO-COUNTRY,0
5621627,ID,1,NO-COUNTRY,0
5621643,IE,13,NO-COUNTRY,0
5621787,IL,34,NO-COUNTRY,0
5621851,IN,4,NO-COUNTRY,0
5621864,IR,3,NO-COUNTRY,0
5621868,IS,1,NO-COUNTRY,0
5622945,IT,213,NO-COUNTRY,0
5623159,JM,1,NO-COUNTRY,0
5638391,JP,2239,NO-COUNTRY,0
5640640,KR,9,NO-COUNTRY,0
5640652,LB,1,NO-COUNTRY,0
5640663,LI,4,NO-COUNTRY,0
5640702,MC,4,NO-COUNTRY,0
5640727,MX,17,NO-COUNTRY,0
5640747,NG,1,NO-COUNTRY,0
5640748,NI,1,NO-COUNTRY,0
5641625,NL,195,NO-COUNTRY,0
5641899,NO,36,NO-COUNTRY,0
5641957,NZ,39,NO-COUNTRY,0
5641997,PA,1,NO-COUNTRY,0
5642005,PH,2,NO-COUNTRY,0
5642134,PL,24,NO-COUNTRY,0
5642160,PT,3,NO-COUNTRY,0
5642194,RO,2,NO-COUNTRY,0
5643203,SE,267,NO-COUNTRY,0
5645523,SU,345,NO-COUNTRY,0
5645870,SV,1,NO-COUNTRY,0
5645903,TW,8,NO-COUNTRY,0
5693755,US,14539,NO-COUNTRY,0
5708294,VE,2,NO-COUNTRY,0
5708305,YU,5,NO-COUNTRY,0
5708410,ZA,21,NO-COUNTRY,0
