,COUNTRY,PATENT,CITING_COUNTRY,PATENT_COUNTRY_NUMBER
5594534,AR,4,NO-COUNTRY,0
5594683,AT,262,NO-COUNTRY,0
5595178,AU,120,NO-COUNTRY,0
5595737,BE,105,NO-COUNTRY,0
5595994,BG,53,NO-COUNTRY,0
5596067,BR,9,NO-COUNTRY,0
5596104,BS,1,NO-COUNTRY,0
5596976,CA,411,NO-COUNTRY,0
5599220,CH,342,NO-COUNTRY,0
5599996,CL,5,NO-COUNTRY,0
5600166,CS,50,NO-COUNTRY,0
5600307,CU,1,NO-COUNTRY,0
5607670,DE,3032,NO-COUNTRY,0
5612675,DK,66,NO-COUNTRY,0
5612801,DO,2,NO-COUNTRY,0
5612846,ES,36,NO-COUNTRY,0
5613005,FI,76,NO-COUNTRY,0
5615420,FR,777,NO-COUNTRY,0
5619556,GB,951,NO-COUNTRY,0
5621276,GR,2,NO-COUNTRY,0
5621286,HK,7,NO-COUNTRY,0
5621589,HU,25,NO-COUNTRY,0
5621637,IE,6,NO-COUNTRY,0
5621755,IL,32,NO-COUNTRY,0
5621850,IN,1,NO-COUNTRY,0
5622691,IT,254,NO-COUNTRY,0
5623158,JM,1,NO-COUNTRY,0
5633917,JP,4474,NO-COUNTRY,0
5640639,KR,1,NO-COUNTRY,0
5640651,LB,1,NO-COUNTRY,0
5640656,LI,7,NO-COUNTRY,0
5640683,LU,14,NO-COUNTRY,0
5640697,MA,1,NO-COUNTRY,0
5640698,MC,4,NO-COUNTRY,0
5640717,MX,10,NO-COUNTRY,0
5640745,NG,2,NO-COUNTRY,0
5641457,NL,168,NO-COUNTRY,0
5641860,NO,39,NO-COUNTRY,0
5641942,NZ,15,NO-COUNTRY,0
5641996,PA,1,NO-COUNTRY,0
5642003,PH,2,NO-COUNTRY,0
5642090,PL,44,NO-COUNTRY,0
5642159,PT,1,NO-COUNTRY,0
5642179,RO,15,NO-COUNTRY,0
5642748,SE,455,NO-COUNTRY,0
5644803,SU,720,NO-COUNTRY,0
5645869,SV,1,NO-COUNTRY,0
5645893,TW,10,NO-COUNTRY,0
5680088,US,13667,NO-COUNTRY,0
5708298,YU,7,NO-COUNTRY,0
5708375,ZA,35,NO-COUNTRY,0
